species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Diprion butovitschi,Arthropoda,Insecta,Hymenoptera,Diprionidae,FE,,,,,gap,
Diprion pini,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,iNat,DTN",4.0,5.0,2.0,,,294444.0
Diprion rufiventris,Arthropoda,Insecta,Hymenoptera,Diprionidae,FE,,,,,gap,
Diprion similis,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,iNat,DTN",44.0,62.0,1.0,,,83207.0
Gilpinia abieticola,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",3.0,6.0,0.0,,,294440.0
Gilpinia catocala,Arthropoda,Insecta,Hymenoptera,Diprionidae,FE,,,,,gap,
Gilpinia coreana,Arthropoda,Insecta,Hymenoptera,Diprionidae,FE,,,,,gap,
Gilpinia fennica,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE",2.0,2.0,0.0,,,1062921.0
Gilpinia frutetorum,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",28.0,56.0,6.0,,,294441.0
Gilpinia hercyniae,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",90.0,109.0,5.0,,,294438.0
Gilpinia laricis,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",3.0,4.0,1.0,,,660765.0
Gilpinia pallida,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",6.0,9.0,0.0,,,660766.0
Gilpinia polytoma,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",23.0,31.0,2.0,,,333359.0
Gilpinia socia,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",0.0,2.0,0.0,,gap,294439.0
Gilpinia variegata,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",8.0,12.0,1.0,,,294443.0
Gilpinia virens,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,iNat,DTN",10.0,13.0,1.0,,,337948.0
Macrodiprion nemoralis,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,iNat,DTN",1.0,6.0,1.0,,,294437.0
Microdiprion fuscipennis,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE",1.0,1.0,0.0,,,333801.0
Microdiprion pallipes,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",17.0,19.0,1.0,,,333804.0
Monoctenus juniperi,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",25.0,32.0,5.0,,,82635.0
Monoctenus obscuratus,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,DTN",21.0,22.0,2.0,,,190444.0
Monoctenus subconstrictus,Arthropoda,Insecta,Hymenoptera,Diprionidae,FE,,,,,gap,
Neodiprion sertifer,Arthropoda,Insecta,Hymenoptera,Diprionidae,"BOLD,FE,iNat,DTN",21.0,34.0,2.0,,,104336.0
