species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Gasteruption assectator,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,iNat,DTN",69.0,81.0,3.0,,,308734.0,973700.0
Gasteruption boreale,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,21.0,27.0,1.0,,,738592.0,
Gasteruption canariae,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption caucasicum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,20.0,27.0,1.0,,,542633.0,
Gasteruption diversipes,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",3.0,14.0,0.0,,,308739.0,
Gasteruption dolichoderum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",3.0,6.0,0.0,,,514600.0,
Gasteruption erythrostomum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",13.0,24.0,1.0,,,308737.0,
Gasteruption fallaciosum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption floreum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption forticorne,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",3.0,13.0,0.0,,,514601.0,
Gasteruption foveiceps,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",2.0,2.0,0.0,,,1146201.0,
Gasteruption freyi,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",2.0,5.0,0.0,,,1130742.0,
Gasteruption goberti,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",2.0,4.0,0.0,,,1130744.0,
Gasteruption hastator,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",15.0,20.0,0.0,,,330499.0,
Gasteruption hungaricum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",2.0,6.0,0.0,,,1130745.0,
Gasteruption ignoratum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption insidiosum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,2.0,5.0,0.0,,,973703.0,
Gasteruption jaculator,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,iNat,DTN",30.0,44.0,2.0,,,308740.0,
Gasteruption laticeps,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",12.0,19.0,0.0,,,542632.0,
Gasteruption lugubre,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption merceti,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",18.0,25.0,1.0,,,308742.0,
Gasteruption minutum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",7.0,11.0,0.0,,,514603.0,
Gasteruption nigrescens,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",6.0,14.0,0.0,,,308735.0,
Gasteruption nigritarse,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,18.0,28.0,0.0,,,973701.0,
Gasteruption opacum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",15.0,26.0,0.0,,,308738.0,
Gasteruption ortegae,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption paternum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",3.0,3.0,0.0,,,514602.0,
Gasteruption pedemontanum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",2.0,2.0,1.0,,,308741.0,
Gasteruption phragmiticola,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,8.0,13.0,0.0,,,308736.0,
Gasteruption psilomma,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption schlettereri,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,4.0,11.0,0.0,,,973704.0,
Gasteruption schossmannae,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,FE,,,,,gap,,
Gasteruption subtile,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",3.0,9.0,1.0,,,700363.0,
Gasteruption syriacum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,1.0,1.0,0.0,,,973699.0,
Gasteruption tanyakronum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,3.0,3.0,0.0,,,1146202.0,
Gasteruption tournieri,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",22.0,29.0,2.0,,,308744.0,
Gasteruption undulatum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE,DTN",12.0,18.0,0.0,,,308743.0,
Gasteruption variolosum,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,"BOLD,FE",3.0,7.0,0.0,,,514599.0,
Gasteruption zarudnyi,Arthropoda,Insecta,Hymenoptera,Gasteruptiidae,BOLD,2.0,2.0,0.0,,,973702.0,
