species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Dipriocampe diprioni,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"FE,DTN",,,,,gap,
Dipriocampe elongata,Arthropoda,Insecta,Hymenoptera,Tetracampidae,FE,,,,,gap,
Epiclerus femoralis,Arthropoda,Insecta,Hymenoptera,Tetracampidae,FE,,,,,gap,
Epiclerus nomocerus,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"FE,DTN",,,,,gap,
Epiclerus panyas,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"BOLD,FE,DTN",130.0,139.0,1.0,,,642176.0
Epiclerus temenus,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"BOLD,FE,DTN",0.0,1.0,0.0,,gap,968813.0
Foersterella erdoesi,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"FE,DTN",,,,,gap,
Foersterella reptans,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"FE,DTN",1.0,2.0,0.0,,,656683.0
Platynocheilus clematidis,Arthropoda,Insecta,Hymenoptera,Tetracampidae,FE,,,,,gap,
Platynocheilus cuprifrons,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"FE,DTN",,,,,gap,
Tetracampe impressa,Arthropoda,Insecta,Hymenoptera,Tetracampidae,"BOLD,FE,DTN",1.0,2.0,0.0,,,722229.0
