species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Megalodontes bucephalus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes capitalatus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE",3.0,3.0,1.0,,,338211.0
Megalodontes cephalotes,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE,iNat,DTN",22.0,30.0,1.0,,,81944.0
Megalodontes dusmeti,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes eversmanni,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,5.0,8.0,1.0,,,338214.0
Megalodontes fabricii,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE,iNat,DTN",3.0,7.0,1.0,,,294446.0
Megalodontes flabellicornis,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE",10.0,10.0,2.0,,,338215.0
Megalodontes flavicornis,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"FE,DTN",4.0,4.0,2.0,,,338216.0
Megalodontes gratiosus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes krausi,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes laticeps,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes medius,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,2.0,2.0,1.0,,,333397.0
Megalodontes merceti,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes mocsaryi,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE",0.0,1.0,0.0,,gap,338227.0
Megalodontes mundus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes panzeri,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE,DTN",9.0,9.0,0.0,,,338230.0
Megalodontes phaenicius,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE",4.0,4.0,2.0,,,338232.0
Megalodontes plagiocephalus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE,DTN",28.0,29.0,2.0,,,338233.0
Megalodontes scythicus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,,,,,gap,
Megalodontes spiraeae,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,3.0,3.0,2.0,,,338238.0
Megalodontes thor,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,"BOLD,FE,DTN",18.0,20.0,1.0,,,208561.0
Megalodontes turcicus,Arthropoda,Insecta,Hymenoptera,Megalodontesidae,FE,1.0,1.0,1.0,,,338239.0
