species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Afranthidium carduele,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",11,18,0,,,316476,,
Afranthidium schulthessii,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",5,5,0,ITIS,,695923,,
Aglaoapis tridentata,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",7,12,1,,,488455,256626.0,
Anthidiellum breviusculum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",5,11,1,,,316485,,
Anthidiellum strigatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",49,90,1,,,379203,214264.0,
Anthidiellum troodicum,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,4,6,0,,,1021708,,
Anthidium cingulatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",27,29,1,,,695998,,
Anthidium dalmaticum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",12,13,0,,,695999,,
Anthidium diadema,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",16,19,0,,,696000,,
Anthidium florentinum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",49,58,2,,,197333,,
Anthidium loti,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",18,18,2,,,449153,,
Anthidium manicatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",133,162,1,,,85419,,
Anthidium montanum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",4,9,1,,,256621,,
Anthidium oblongatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",59,72,1,,,58222,,
Anthidium punctatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",59,63,1,,,200486,,
Anthidium septemspinosum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",11,18,1,,,696024,,
Anthidium spiniventre,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",2,2,0,,,696028,,
Anthidium taeniatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",16,19,0,,,696032,,
Anthidium undulatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",23,25,0,,,696050,,
Chalicodoma ericetorum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",38,40,2,,,198542,,
Chalicodoma pyrenaica,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",12,12,1,,,272599,,
Chelostoma campanularum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",103,123,1,,,197334,,
Chelostoma distinctum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",39,42,1,,,200463,,
Chelostoma edentulum,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,1,2,0,,,200474,,
Chelostoma emarginatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",3,5,1,,,502004,,
Chelostoma florisomne,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",21,56,1,,,197335,,
Chelostoma foveolatum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",5,7,0,,,200462,,
Chelostoma grande,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",3,3,1,,,200473,,
Chelostoma rapunculi,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",50,68,1,ITIS,,197336,,
Coelioxys acanthura,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",1,2,0,,,697861,1145723.0,
Coelioxys afra,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",36,94,3,,,214260,214261.0,1145724.0
Coelioxys alatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",5,5,1,,,265303,,
Coelioxys argenteus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",5,5,1,,,1137960,344570.0,
Coelioxys aurolimbatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",16,23,1,,,1066138,214293.0,
Coelioxys conicus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",2,8,0,ITIS,,198539,,
Coelioxys conoideus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",44,51,5,ITIS,,256628,214294.0,
Coelioxys coturnix,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",1,1,0,,,295739,,
Coelioxys echinatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",19,41,3,,,1137961,256629.0,58225.0
Coelioxys elongatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",14,33,1,,,256630,,
Coelioxys haemorrhoa,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",3,3,1,,,449152,743123.0,
Coelioxys haemorrhous,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,3,3,0,,,1145725,,
Coelioxys inermis,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",12,18,2,,,214101,,
Coelioxys lanceolatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",6,8,1,,,513393,,
Coelioxys obtusispina,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",1,1,0,,,697974,,
Coelioxys obtusus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",3,3,0,,,697973,,
Coelioxys octodentatus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",8,16,1,ITIS,,993778,256627.0,
Coelioxys polycentris,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",0,2,0,,gap,344566,,
Coelioxys rufescens,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",16,18,2,,,214100,,
Dioxys cinctus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",12,12,4,ITIS,,696284,379202.0,
Dioxys moestus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",8,8,0,,,696289,,
Dioxys pumilus,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",5,5,0,,,696291,,
Ensliniana bidentata,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,1,2,0,,,696295,,
Eoanthidium clypeare,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",1,4,0,ITIS,,696103,,
Eoanthidium insulare,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",3,12,0,,,696104,,
Heriades crenulata,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",37,49,2,,,696370,198503.0,
Heriades rubicola,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",14,18,1,,,696400,,
Heriades truncorum,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",77,94,2,,,200477,,
Hoplitis acuticornis,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",10,15,2,,,313908,,
Hoplitis adunca,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,iNat,DTN",44,56,1,,,200480,,
Hoplitis albiscopa,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,3,3,0,,,696587,,
Hoplitis annulata,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE",7,9,0,,,522862,,
Hoplitis anthocopoides,Arthropoda,Insecta,Hymenoptera,Megachilidae,"BOLD,FE,DTN",28,47,3,,,249284,,
Hoplitis anthocopoides_csea,Arthropoda,Insecta,Hymenoptera,Megachilidae,BOLD,1,1,1,,,591724,,
