species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Diodontus brevilabris,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI",4,7,1,,,285652,,
Diodontus handlirschi,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",5,7,1,,,311768,,
Diodontus hyalipennis,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI",1,1,1,HySI,,705644,,
Diodontus insidiosus,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",16,17,7,,,285653,,
Diodontus luperus,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",32,34,1,,,285654,,
Diodontus medius,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",3,7,1,,,511957,,
Diodontus minutus,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",47,52,3,,,311776,,
Diodontus tristis,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",4,17,2,,,198526,,
Diodontus wahisi,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI",6,7,1,,,327866,,
Entomosericus concinnus,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI",1,2,0,HySI,,330669,,
Passaloecus borealis,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",14,20,2,HySI,,308649,308656.0,
Passaloecus brevilabris,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",6,28,1,,,308648,,
Passaloecus clypealis,Arthropoda,Insecta,Hymenoptera,Pemphredonidae,"BOLD,FE,HySI,DTN",6,7,1,,,500208,,
