Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.47937E-7,0.000034794,0.002574108,1,0,0
3.63762E-7,0.00007117,0.002690865,0.999900803,0,0
3.92084E-7,0.000110378,0.002899764,0.999801607,0,0
6.25977E-7,0.000274839,0.004621591,0.999504017,0,0
8.41512E-7,0.000509975,0.006203014,0.999206428,0,0
1.12568E-6,0.001034941,0.008280323,0.998710445,0,0
1.76464E-6,0.002559495,0.012919746,0.997619284,0,0
2.70038E-6,0.005108493,0.019636191,0.996528122,0,0
3.42335E-6,0.010046254,0.024763155,0.994940978,0,0
4.03774E-6,0.025024619,0.029078238,0.990973118,0,0
4.91823E-6,0.050208315,0.035195985,0.985418113,0,0
5.85327E-6,0.100525131,0.041608925,0.976292035,0,0
7.31418E-6,0.200233786,0.051459582,0.961313362,0,0
8.79402E-6,0.300829798,0.061233653,0.948913798,0,0
1.009E-5,0.400021248,0.069629032,0.938498165,0,0
1.18886E-5,0.500634065,0.081035149,0.929372086,0,0
1.35478E-5,0.600155391,0.091312105,0.921634758,0,0
1.52683E-5,0.700823679,0.101728912,0.914691003,0,0
1.6013E-5,0.750794206,0.106163434,0.911516715,0,0
1.66144E-5,0.801387393,0.109713388,0.908441623,0,0
1.81151E-5,0.900526478,0.118449542,0.902787422,0.012195122,0
1.96693E-5,1.000750015,0.127318096,0.897530007,0.012195122,0
2.0844E-5,1.102029716,0.133903692,0.892570182,0.012195122,0
2.21176E-5,1.200392863,0.140932348,0.888007142,0.012195122,0
2.32328E-5,1.300217564,0.146993771,0.883642496,0.012195122,0
2.45191E-5,1.400521622,0.153879926,0.879476242,0.012195122,0
2.55435E-5,1.500667345,0.159284957,0.875508382,0.012195122,0
2.77642E-5,1.751420427,0.170767908,0.86618391,0.012195122,0
2.98369E-5,2.001850211,0.181206146,0.857553814,0.012195122,0
3.12056E-5,2.252201433,0.187956444,0.8494197,0.012195122,0
3.23103E-5,2.500491112,0.193323662,0.841682373,0.012195122,0
3.32464E-5,2.752994622,0.197816583,0.834044242,0.012195122,0
3.42336E-5,3.002568587,0.202501138,0.8267037,0.012195122,0
3.53154E-5,3.252797456,0.207572034,0.819561551,0.012195122,0
3.60542E-5,3.502550533,0.21099823,0.812617796,0.012195122,0
3.68672E-5,3.750452132,0.21473444,0.805872433,0.012195122,0
3.77363E-5,4.000270288,0.218689384,0.799226267,0.012195122,0
3.8439E-5,4.251533755,0.221858217,0.792679298,0.012195122,0
3.92802E-5,4.500270093,0.225618141,0.786330721,0.012195122,0
4.00285E-5,4.750188649,0.22893215,0.780081341,0.012195122,0
4.10856E-5,5.001493777,0.23356606,0.773931158,0.012195122,0
4.1809E-5,5.250316467,0.236705105,0.767979367,0.012195122,0
4.24734E-5,5.503249322,0.239565512,0.762027577,0.012195122,0
4.33908E-5,5.752278717,0.243480087,0.756274179,0.012195122,0
4.42498E-5,6.002401123,0.247109038,0.750619978,0.012195122,0
4.51261E-5,6.252702329,0.250775273,0.745064974,0.012195122,0
4.59039E-5,6.502971817,0.253999977,0.739609166,0.012195122,0
4.65213E-5,6.752424939,0.256539677,0.734252554,0.012195122,0
4.72103E-5,7.000784182,0.259353986,0.728995139,0.012195122,0
4.78202E-5,7.252613638,0.261827255,0.723737724,0.012195122,0
4.83828E-5,7.502931281,0.264094073,0.718579506,0.012195122,0
4.89498E-5,7.75602072,0.266364582,0.713421288,0.012195122,0
4.97117E-5,8.002712331,0.269393599,0.708461462,0.012195122,0
5.04225E-5,8.25309492,0.272196868,0.703501637,0.012195122,0
5.10264E-5,8.501814831,0.274561915,0.698641008,0.012195122,0
5.16475E-5,8.75339088,0.276978268,0.693780379,0.012195122,0
5.24807E-5,9.003295055,0.280194712,0.689018947,0.012195122,0
5.30848E-5,9.251453305,0.282508816,0.684356711,0.012195122,0
5.39E-5,9.502843633,0.285608127,0.679694475,0.012195122,0
5.45868E-5,9.752542784,0.28819829,0.675131435,0.012195122,0
5.55138E-5,10.005643362,0.291665041,0.670568396,0.012195122,0
5.62132E-5,10.251409198,0.294258506,0.66620375,0.012195122,0
5.6923E-5,10.500236045,0.296871151,0.661839103,0.024390244,0
5.75586E-5,10.752179738,0.299194086,0.657474457,0.036585366,0
5.83323E-5,11.001310384,0.30200138,0.653209007,0.036585366,0
5.8919E-5,11.253486647,0.304115103,0.648943557,0.036585366,0
5.95805E-5,11.502273886,0.30648279,0.644777304,0.036585366,0
6.0475E-5,11.754867711,0.309659372,0.64061105,0.036585366,0
6.10921E-5,12.003957393,0.311833915,0.636543994,0.036585366,0
6.17597E-5,12.255642151,0.314171149,0.632476937,0.036585366,0
6.22796E-5,12.503814196,0.315980132,0.628509076,0.036585366,0
6.29839E-5,12.754298746,0.318415548,0.624541216,0.036585366,0
6.34996E-5,13.000914306,0.320187835,0.620672552,0.036585366,0
6.41249E-5,13.256186453,0.322324517,0.616704692,0.036585366,0
6.44891E-5,13.500518619,0.323562781,0.612935225,0.036585366,0
6.50632E-5,13.753175602,0.325505724,0.609066561,0.036585366,0
6.55355E-5,14.001422643,0.327095623,0.605297094,0.036585366,0
