species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Aceratoneuromyia claridgei,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Aceratoneuromyia evanescens,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Aceratoneuromyia fimbriata,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Aceratoneuromyia granularis,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Aceratoneuromyia indica,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,0.0,12.0,0.0,,gap,1161957.0,,
Aceratoneuromyia polita,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides acerianus,Arthropoda,Insecta,Hymenoptera,Eulophidae,"BOLD,FE,DTN",5.0,5.0,1.0,,,162239.0,,
Achrysocharoides albiscapus,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides altilis,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides atys,Arthropoda,Insecta,Hymenoptera,Eulophidae,"BOLD,FE,DTN",3.0,4.0,1.0,,,162240.0,,
Achrysocharoides budensis,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides bukkensis,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides butus,Arthropoda,Insecta,Hymenoptera,Eulophidae,"BOLD,FE",15.0,19.0,1.0,,,736796.0,,
Achrysocharoides carpini,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides cilla,Arthropoda,Insecta,Hymenoptera,Eulophidae,"BOLD,FE,DTN",26.0,32.0,5.0,,,162237.0,,
Achrysocharoides cruentus,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides insignitellae,Arthropoda,Insecta,Hymenoptera,Eulophidae,"BOLD,FE,DTN",2.0,2.0,1.0,,,123276.0,,
Achrysocharoides latreilleii,Arthropoda,Insecta,Hymenoptera,Eulophidae,BOLD,10.0,10.0,1.0,,,162236.0,,
Achrysocharoides latreillii,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides nigricoxae,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides niveipes,Arthropoda,Insecta,Hymenoptera,Eulophidae,"FE,DTN",,,,,gap,,,
Achrysocharoides pannonica,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides parva,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
Achrysocharoides platanoidae,Arthropoda,Insecta,Hymenoptera,Eulophidae,BOLD,1.0,1.0,0.0,,,768213.0,,
Achrysocharoides scaposa,Arthropoda,Insecta,Hymenoptera,Eulophidae,FE,,,,,gap,,,
