species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Eucharis adscendens,Arthropoda,Insecta,Hymenoptera,Eucharitidae,"FE,iNat,DTN",,,,,gap,
Eucharis borceai,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis carinifera,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis dobrogica,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis gussakovskii,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis hyalinipennis,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis marani,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis nana,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis punctata,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis reticulata,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis rugulosa,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Eucharis shestakovi,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Stilbula cyniformis,Arthropoda,Insecta,Hymenoptera,Eucharitidae,"FE,DTN",,,,,gap,
Stilbula vitripennis,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
Thoracantha bella,Arthropoda,Insecta,Hymenoptera,Eucharitidae,FE,,,,,gap,
