species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Bembix pallida,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI",3,3,1,,,285612,,
Bembix rostrata,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,iNat,HySI,DTN",17,18,1,,,349377,,
Bembix tarsata,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",6,6,1,,,285613,,
Bembix turca,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI",4,6,1,,,285614,,
Bembix zonata,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI",0,1,0,,gap,894179,,
Brachystegus scalaris,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",7,16,2,HySI,,705578,330638.0,
Didineis lunicornis,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,iNat,HySI,DTN",12,15,1,,,349381,,
Didineis vierecki,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI",1,1,1,HySI,,705636,,
Didineis wuestenii,Arthropoda,Insecta,Hymenoptera,Bembicidae,BOLD,0,2,0,,gap,285649,,
Gorytes fallax,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",8,11,1,,,314675,,
Gorytes planifrons,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",2,2,1,,,705638,,
Gorytes procrustes,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",21,22,2,HySI,,407780,314674.0,
Gorytes provancheri,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,iNat,HySI,DTN",33,35,1,HySI,,314673,,
Gorytes quadrifasciatus,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",12,13,2,HySI,,500203,705637.0,
Gorytes quinquecinctus,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI,DTN",20,23,1,HySI,,285673,,
Gorytes schlettereri,Arthropoda,Insecta,Hymenoptera,Bembicidae,"BOLD,FE,HySI",0,4,0,,gap,705579,,
