species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Lindenius panzeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",12.0,15.0,1.0,HySI,,314634.0,,,,,
Lindenius parkanensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,,,705655.0,,,,,
Lindenius peninsularis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius pygmaeus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",14.0,19.0,1.0,HySI,,314635.0,,,,,
Lindenius sierrae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Lindenius subaeneus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",7.0,8.0,1.0,,,314633.0,,,,,
Liris agilis,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,3.0,5.0,2.0,,,576741.0,,,,,
Liris atratus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE",2.0,4.0,1.0,,,576742.0,,,,,
Liris festinans,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,35.0,39.0,1.0,,,748794.0,,,,,
Liris haemorrhoidalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",9.0,12.0,1.0,,,576744.0,,,,,
Liris inopinatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Liris niger,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",12.0,18.0,2.0,,,327852.0,,,,,
Liris nigricans,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,5.0,7.0,1.0,,,576747.0,,,,,
Liris opalipennis,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,1.0,3.0,1.0,,,576748.0,,,,,
Mimesa caucasica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Mimesa gussakowskiji,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Mimesa nigrita,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Mimesa sublaevis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Mimesa tenuis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Mimumesa sibiricina,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,DTN",,,,,gap,,,,,,
Mimumesa wuestneii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus absconditus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus akrofisianus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus albomaculatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus albufeirae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,,,768250.0,,,,,
Miscophus andradei,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus ater,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",55.0,69.0,7.0,HySI,,330483.0,349404.0,386874.0,,,
Miscophus belveriensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus benidormicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus berlandi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus canariensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus caninus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus cappadocica,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,2.0,2.0,1.0,,,768256.0,,,,,
Miscophus concolor,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",8.0,14.0,1.0,HySI,,474162.0,349405.0,,,,
Miscophus corsicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus gineri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus guichardi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus helveticus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",13.0,16.0,6.0,HySI,,675739.0,,,,,
Miscophus histrionicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus insolitus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,1.0,1.0,,,720155.0,,,,,
Miscophus insulicola,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus italicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus johni,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",1.0,1.0,1.0,,,768249.0,,,,,
Miscophus levantinus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus luctuosus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus lusitanicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",22.0,24.0,1.0,HySI,,349405.0,,,,,
Miscophus mavromoustakisi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,608459.0,,,,,
Miscophus merceti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus minutus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,,,768255.0,,,,,
Miscophus mochii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,677293.0,,,,,
Miscophus nevesi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus nicolai,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Miscophus nitidior,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus othello,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus pharaonis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Miscophus portoi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus postumus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",2.0,2.0,1.0,,,514610.0,,,,,
Miscophus primogeniti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",11.0,13.0,3.0,,,677292.0,285690.0,,,,
Miscophus pseudomimeticus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus pulcher,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",4.0,4.0,1.0,,,768229.0,,,,,
Miscophus susterai,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus temperatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus unigea,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Miscophus verhoeffi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus yermasoyensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Miscophus zakakiensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nitela blascoi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nitela borealis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",83.0,90.0,2.0,,,330636.0,,,,,
Nitela fallax,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",25.0,26.0,1.0,,,285692.0,,,,,
Nitela laevigata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",0.0,4.0,0.0,,gap,330634.0,,,,,
Nitela lucens,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",4.0,9.0,1.0,,,349402.0,,,,,
Nitela truncata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",5.0,6.0,2.0,,,330635.0,,,,,
Nitela yasumatsui,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",21.0,26.0,1.0,,,314689.0,,,,,
Nysson alicantinus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson castellanus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson chevrieri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson dusmeti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson epeoliformis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Nysson fraternus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson gerstaeckeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson ibericus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson kolazyi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson konowi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson lapillus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson laufferi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson miegi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson monachus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Nysson parietalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson pusillus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson quadriguttatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Nysson ruthenicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Nysson varelai,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Olgia helena,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",0.0,1.0,0.0,,gap,891623.0,,,,,
Oryttus infernalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",2.0,2.0,1.0,,,330667.0,,,,,
Oxybelomorpha steckii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus argentatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",14.0,16.0,1.0,HySI,,314655.0,314645.0,,,,
Oxybelus aurantiacus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,705653.0,,,,,
Oxybelus bipunctatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",34.0,49.0,2.0,,,314648.0,,,,,
Oxybelus cocacolae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",5.0,6.0,1.0,,,544959.0,,,,,
Oxybelus diphyllus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus dissectus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",4.0,6.0,1.0,,,677310.0,330651.0,,,,
Oxybelus dusmeti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus fischeri,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",9.0,9.0,0.0,,,973721.0,,,,,
Oxybelus haemorrhoidalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",18.0,18.0,1.0,HySI,,314642.0,,,,,
Oxybelus hastatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus lamellatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",16.0,19.0,2.0,,,544962.0,,,,,
Oxybelus latro,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",7.0,8.0,1.0,HySI,,314644.0,,,,,
Oxybelus lineatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",3.0,3.0,1.0,HySI,,330648.0,,,,,
Oxybelus maculipes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,4.0,1.0,,,330649.0,,,,,
Oxybelus occitanicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus polyacanthus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus quattuordecimguttatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,2.0,3.0,0.0,,,514725.0,,,,,
Oxybelus quatuordecimnotatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",14.0,40.0,2.0,HySI,,314646.0,,,,,
Oxybelus spectabilis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Oxybelus subspinosus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",3.0,7.0,1.0,,,330652.0,314643.0,,,,
Oxybelus subulatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",14.0,22.0,2.0,HySI,,508864.0,,,,,
Oxybelus trispinosus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",25.0,28.0,1.0,HySI,,314647.0,,,,,
Oxybelus uniglumis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",41.0,46.0,4.0,HySI,,192991.0,,,,,
Oxybelus variegatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",31.0,45.0,2.0,HySI,,314641.0,314664.0,,,,
Palarus almeriensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Palarus funerarius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Palarus variegatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,3.0,1.0,HySI,,330701.0,,,,,
Passaloecus australis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Passaloecus longiceps,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Passaloecus ribauti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Philanthus dufourii,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Philanthus sculpturatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Pison atrum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",10.0,12.0,2.0,,,327854.0,,,,,
Pison cameronii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Pison carinatum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,1.0,1.0,,,330707.0,,,,,
Pison sericeum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",0.0,1.0,0.0,,gap,330709.0,,,,,
Plenoculus beaumonti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Prosopigastra bulgarica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",0.0,2.0,0.0,,gap,373133.0,,,,,
Prosopigastra creon,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",4.0,5.0,3.0,HySI,,373134.0,,,,,
Prosopigastra handlirschi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",3.0,4.0,2.0,,,330714.0,,,,,
Prosopigastra kohli,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Prosopigastra orientalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,HySI,,373135.0,,,,,
Prosopigastra zalinda,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",0.0,1.0,0.0,,gap,373136.0,,,,,
Pseneo exaratus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,314654.0,,,,,
Psenulus cypriacus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,192994.0,,,,,
Psenulus hidalgo,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Pseudomicroides elvirae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Pseudomicroides fergusoni,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Pseudomicroides zimini,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",2.0,2.0,1.0,,,740807.0,,,,,
Pseudoscolia dewitzi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",3.0,3.0,1.0,,,720158.0,,,,,
Pseudoscolia martinezi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Rhopalum austriacum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",9.0,9.0,1.0,,,474160.0,,,,,
Rhopalum beaumonti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",2.0,3.0,1.0,,,314639.0,,,,,
Rhopalum coarctatum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",23.0,32.0,1.0,HySI,,192968.0,508863.0,,,,
Rhopalum gracile,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",5.0,10.0,2.0,,,314640.0,,,,,
Rhopalum jessonicum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",146.0,153.0,2.0,HySI,,192969.0,,,,,
Solierella canariensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Solierella compedita,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,DTN",20.0,22.0,3.0,,,327868.0,,,,,
Solierella cypriaca,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,3.0,3.0,1.0,,,608457.0,,,,,
Solierella dispar,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,1.0,4.0,1.0,,,562064.0,,,,,
Solierella insidiosa,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE",5.0,11.0,1.0,,,544948.0,,,,,
Solierella pectinata,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,1.0,1.0,1.0,,,675742.0,,,,,
Solierella pisonoides,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE",3.0,3.0,1.0,,,608456.0,,,,,
Solierella seabrai,Arthropoda,Insecta,Hymenoptera,Crabronidae,FE,,,,,gap,,,,,,
Solierella verhoeffi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE",2.0,2.0,1.0,,,608454.0,,,,,
Spilomena canariensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Stizoides crassicornis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Stizus aestivalis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Stizus annulatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",2.0,2.0,2.0,,,891632.0,576717.0,,,,
Stizus bipunctatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Stizus continuus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,1.0,1.0,ITIS,,576715.0,,,,,
Stizus hispanicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",4.0,4.0,1.0,,,647679.0,,,,,
Stizus lohrmanni,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",1.0,2.0,1.0,HySI,,576714.0,,,,,
Stizus tricolor,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex adjunctus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,3.0,3.0,,,720176.0,705588.0,,,,
Tachysphex agnus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",4.0,4.0,2.0,,,705587.0,,,,,
Tachysphex albocinctus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",5.0,7.0,3.0,HySI,,595293.0,729608.0,,,,
Tachysphex austriacus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",11.0,12.0,1.0,,,314624.0,,,,,
Tachysphex blattivorus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex bohemicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,1.0,1.0,1.0,,,738786.0,,,,,
Tachysphex brevipennis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",93.0,95.0,6.0,HySI,,740795.0,771773.0,705597.0,894196.0,803389.0,720180.0
Tachysphex brullii,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",7.0,7.0,1.0,HySI,,379219.0,,,,,
Tachysphex carli,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex consocius,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,15.0,15.0,4.0,,,330447.0,767395.0,502001.0,,,
Tachysphex coriaceus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",2.0,2.0,1.0,,,729351.0,,,,,
Tachysphex costae,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",6.0,10.0,2.0,,,720151.0,738755.0,,,,
Tachysphex crassiformis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",3.0,4.0,1.0,,,729345.0,,,,,
Tachysphex cretensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,1.0,1.0,1.0,,,762670.0,,,,,
Tachysphex ctenophorus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex cyprius,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,2.0,2.0,1.0,,,738757.0,,,,,
Tachysphex descendentis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",3.0,4.0,1.0,,,705593.0,,,,,
Tachysphex desertorum,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",4.0,5.0,4.0,HySI,,740796.0,740792.0,,,,
Tachysphex discolor,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,7.0,7.0,2.0,,,738782.0,,,,,
Tachysphex erythropus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",5.0,8.0,1.0,,,740793.0,,,,,
Tachysphex euxinus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,0.0,,,767397.0,,,,,
Tachysphex excelsus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex excisus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",26.0,27.0,4.0,,,738785.0,,,,,
Tachysphex ferrugineus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",2.0,2.0,1.0,,,720147.0,,,,,
Tachysphex fugax,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,7.0,1.0,HySI,,720319.0,720162.0,,,,
Tachysphex fulvitarsis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",32.0,36.0,4.0,HySI,,314627.0,729348.0,967872.0,,,
Tachysphex gracilitarsis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Tachysphex graecus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",1.0,1.0,1.0,,,738792.0,,,,,
Tachysphex harpax,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",2.0,2.0,0.0,,,767398.0,,,,,
Tachysphex helveticus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",24.0,33.0,2.0,,,314677.0,,,,,
Tachysphex humilis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",2.0,3.0,2.0,,,720163.0,,,,,
Tachysphex hungaricus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,1.0,1.0,1.0,,,738788.0,,,,,
Tachysphex incertus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",15.0,17.0,3.0,HySI,,330455.0,729612.0,740799.0,449132.0,,
Tachysphex jokischianus,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,22.0,23.0,1.0,,,738784.0,,,,,
Tachysphex jurinii,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,9.0,9.0,2.0,,,738761.0,,,,,
Tachysphex karasi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,HySI",2.0,2.0,2.0,,,705589.0,,,,,
