species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Cerceris bellona,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris boetica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris bracteata,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris cheskesiana,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris concinna,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris dispar,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,705648.0,,,,,
Cerceris dusmeti,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,ITIS,gap,,,,,,
Cerceris euryanthe,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris eversmanni,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Cerceris flaviventris,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris fodiens,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris ibericella,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris impercepta,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Cerceris maculicrus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris media,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,343020.0,,,,,
Cerceris pedetes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,HySI,gap,,,,,,
Cerceris rossica,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Cerceris spinipectus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",0.0,1.0,0.0,,gap,894187.0,,,,,
Cerceris straminea,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crabro alpinus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",11.0,11.0,1.0,,,285630.0,,,,,
Crabro cribrarius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",16.0,21.0,1.0,HySI,,308657.0,,,,,
Crabro ingricus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",2.0,2.0,1.0,,,658855.0,,,,,
Crabro korbi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crabro lapponicus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",4.0,5.0,1.0,,,500207.0,,,,,
Crabro loewi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Crabro maeklini,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI",12.0,12.0,1.0,,,643560.0,,,,,
Crabro malyshevi,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crabro occultus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crabro peltarius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",16.0,20.0,1.0,,,308662.0,,,,,
Crabro peltatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",8.0,9.0,1.0,,,285631.0,,,,,
Crabro pugillator,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crossocerus acanthophorus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",4.0,9.0,1.0,,,285633.0,,,,,
Crossocerus adhaesus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI",,,,,gap,,,,,,
Crossocerus annulipes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",58.0,64.0,1.0,,,192981.0,,,,,
Crossocerus assimilis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",22.0,23.0,1.0,,,308635.0,,,,,
Crossocerus barbipes,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",21.0,27.0,3.0,,,308634.0,,,,,
Crossocerus binotatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",6.0,10.0,1.0,,,308633.0,,,,,
Crossocerus cetratus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",32.0,36.0,1.0,,,285636.0,,,,,
Crossocerus cinxius,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",13.0,16.0,2.0,HySI,,474161.0,386876.0,,,,
Crossocerus denticoxa,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,,gap,,,,,,
Crossocerus denticrus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"FE,HySI,DTN",,,,HySI,gap,,,,,,
Crossocerus dimidiatus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,iNat,HySI,DTN",4.0,8.0,1.0,,,311867.0,,,,,
Crossocerus distinguendus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",26.0,27.0,1.0,,,285638.0,,,,,
Crossocerus elongates,Arthropoda,Insecta,Hymenoptera,Crabronidae,BOLD,0.0,1.0,0.0,,gap,500195.0,,,,,
Crossocerus elongatulus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",31.0,34.0,2.0,HySI,,192984.0,,,,,
Crossocerus exiguus,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",39.0,41.0,1.0,,,308636.0,,,,,
Crossocerus fukuiensis,Arthropoda,Insecta,Hymenoptera,Crabronidae,"BOLD,FE,HySI,DTN",14.0,15.0,1.0,HySI,,308637.0,,,,,
