species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Ablaxia anaxenor,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",20.0,23.0,0.0,,,707207.0,
Ablaxia crassicornis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",1.0,1.0,0.0,,,970232.0,
Ablaxia megachlora,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Ablaxia parviclava,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",1.0,2.0,0.0,,,968321.0,
Ablaxia planiscuta,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Ablaxia robusta,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Ablaxia squamifera,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",1.0,1.0,0.0,,,970246.0,
Ablaxia temporalis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Abomalus masoni,Arthropoda,Insecta,Hymenoptera,Pteromalidae,BOLD,0.0,5.0,0.0,,gap,728824.0,
Acroclisis nigricornis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Acroclisoides sinicus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,BOLD,43.0,43.0,1.0,,,987614.0,
Acroclisoides solus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,BOLD,14.0,18.0,1.0,,,508676.0,
Acrocormus semifasciatus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",1.0,1.0,1.0,,,970126.0,
Aggelma abdominalis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Aggelma agrili,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Aggelma spiracularis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Aggelma violacea,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Agrilocida ferrierei,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Amandia cuprea,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Ammeia pulchella,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anisopteromalus calandrae,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",15.0,21.0,1.0,,,206224.0,
Anisopteromalus glaber,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Anisopteromalus mollis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anogmoides fumipennis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anogmus bulgaricus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anogmus hohenheimensis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",2.0,3.0,1.0,,,948156.0,
Anogmus hungaricus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Anogmus laricis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anogmus piceae,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Anogmus pilosipennis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Anogmus strobilorum,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",0.0,5.0,0.0,,gap,484049.0,
Anogmus vala,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"FE,DTN",,,,,gap,,
Apelioma pteromalinum,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",7.0,7.0,2.0,,,970116.0,
Apelioma restrictum,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Apsilocera bramleyi,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",2.0,2.0,0.0,,,970251.0,
Apsilocera verticillata,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",1.0,1.0,0.0,,,970249.0,
Ardilea convexa,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",0.0,5.0,0.0,,gap,483987.0,
Arthrolytus discoideus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",7.0,8.0,1.0,,,970100.0,
Arthrolytus glandium,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Arthrolytus incisus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Arthrolytus maculipennis,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",19.0,19.0,0.0,,,970094.0,
Arthrolytus nanus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,FE,,,,,gap,,
Arthrolytus ocellus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE,DTN",1.0,1.0,0.0,,,970107.0,
Arthrolytus slovacus,Arthropoda,Insecta,Hymenoptera,Pteromalidae,"BOLD,FE",4.0,4.0,1.0,,,970102.0,
