species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Andrena hattorfiana,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",86,120,3,ITIS,,250380,250382.0,198543.0
Dasypoda albimana,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",0,4,0,,gap,695778,,
Dasypoda argentata,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,DTN",1,6,0,,,256624,,
Dasypoda aurata,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,DTN",1,1,1,ITIS,,407699,,
Dasypoda cingulata,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",5,5,0,,,591727,,
Dasypoda crassicornis,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",3,7,0,,,272600,,
Dasypoda dusmeti,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",5,6,0,,,591728,,
Dasypoda hirtipes,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",100,148,5,ITIS,,214107,191446.0,
Dasypoda morawitzi,Arthropoda,Insecta,Hymenoptera,Melittidae,BOLD,19,25,1,,,879095,,
Dasypoda morotei,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",6,10,0,,,695791,,
Dasypoda pyrotrichia,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",1,3,0,,,695795,,
Dasypoda visnaga,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",1,4,0,,,695804,,
Macropis europaea,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",30,35,1,,,191449,,
Macropis frivaldszkyi,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",1,1,0,,,271732,,
Macropis fulvipes,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",17,23,2,,,214287,,
Melitta aegyptiaca,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE",1,2,0,,,695717,,
Melitta dimidiata,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,DTN",1,14,1,,,265262,,
Melitta leporina,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",58,89,1,,,214285,,
Melitta melanura,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,DTN",1,2,0,ITIS,,695738,,
Melitta nigricans,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",32,45,1,,,265263,,
Melitta tricincta,Arthropoda,Insecta,Hymenoptera,Melittidae,"BOLD,FE,iNat,DTN",20,32,1,,,214286,,
