species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Mimesa bruxellensis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",5,7,1,,,314659,
Mimesa crassipes,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",3,3,1,,,285687,
Mimesa grandii,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",1,3,0,HySI,,720309,314651.0
Mimesa lutaria,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",37,62,4,HySI,,314650,
Mimesa vindobonensis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI",1,1,1,,,705645,
Mimumesa atratina,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",14,15,1,HySI,,314658,
Mimumesa beaumonti,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",7,15,2,,,314660,
Mimumesa dahlbomi,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",29,39,1,,,314656,
Mimumesa littoralis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",7,7,1,,,658856,
Mimumesa spooneri,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",2,3,1,,,511956,
Mimumesa unicolor,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",11,13,1,,,314657,
Psen ater,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",6,7,1,ITIS,,314653,
Psenulus berlandi,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI",2,2,1,,,677294,
Psenulus chevrieri,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,HySI",21,24,1,,,675828,514611.0
Psenulus concolor,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",24,25,1,,,311775,
Psenulus fulvicornis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",1,12,1,,,311774,
Psenulus fuscipennis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",30,34,1,,,311773,
Psenulus laevigatus,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",20,20,1,,,314663,
Psenulus meridionalis,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",1,1,1,HySI,,314662,
Psenulus pallipes,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",81,96,1,HySI,,192994,
Psenulus schencki,Arthropoda,Insecta,Hymenoptera,Psenidae,"BOLD,FE,HySI,DTN",37,41,1,,,314661,
