species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Absyrtus vernalis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",3.0,7.0,0.0,,,728376.0,,
Absyrtus vicinator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",6.0,13.0,2.0,,,213547.0,,
Absyrtus vicinus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,BOLD,0.0,2.0,0.0,,gap,527780.0,,
Acaenitus dubitator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Achaius margineguttatus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",3.0,3.0,1.0,,,890038.0,,
Achaius oratorius,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",18.0,19.0,1.0,,,213664.0,,
Aclastus alacris,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Aclastus borealis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",13.0,24.0,1.0,,,506908.0,,
Aclastus eugracilis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",1.0,2.0,1.0,,,506909.0,,
Aclastus flavipes,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Aclastus glabriventris,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Aclastus gracilis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",44.0,46.0,5.0,,,449180.0,,
Aclastus longicauda,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",2.0,4.0,1.0,,,506910.0,,
Aclastus macrops,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Aclastus micator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",28.0,30.0,3.0,,,506911.0,,
Aclastus minutus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",6.0,8.0,2.0,,,506912.0,,
Aclastus pilosus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Aclastus solitudinum,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Aclastus solutus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",120.0,120.0,4.0,,,449181.0,,
Aclastus transversalis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",4.0,5.0,3.0,,,506913.0,,
Acolobus albimanus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acolobus sericeus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Aconias tarsatus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",2.0,2.0,1.0,,,889915.0,,
Acrodactyla carinator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",5.0,5.0,1.0,,,608476.0,,
Acrodactyla degener,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",46.0,60.0,3.0,,,449208.0,,
Acrodactyla madida,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",0.0,1.0,0.0,,gap,458652.0,,
Acrodactyla polita,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",0.0,1.0,0.0,,gap,396056.0,,
Acrodactyla quadrisculpta,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",91.0,99.0,5.0,,,150402.0,,
Acrodactyla rufithorax,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrodactyla rufotibiator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrolyta flagellator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",5.0,6.0,2.0,,,506889.0,,
Acrolyta glacialis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,BOLD,158.0,158.0,2.0,,,400353.0,,
Acrolyta marginata,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",5.0,6.0,1.0,,,506890.0,,
Acrolyta mediovittata,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Acrolyta nens,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",16.0,23.0,5.0,,,449172.0,,
Acrolyta nigricolor,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrolyta okadai,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrolyta pseudonens,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",4.0,4.0,1.0,,,899703.0,,
Acrolyta rufocincta,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",45.0,48.0,1.0,,,407674.0,,
Acrolyta semistrigosa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",7.0,7.0,1.0,,,892484.0,,
Acropimpla didyma,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",0.0,2.0,0.0,,gap,458640.0,,
Acropimpla pictipes,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",3.0,10.0,1.0,,,458639.0,,
Acroricnus elegans,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acroricnus seductor,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",5.0,5.0,0.0,,,541702.0,,
Acroricnus stylator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",6.0,6.0,1.0,,,774429.0,,
Acrotomus albidulus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrotomus angustatus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrotomus dioszeghyi,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Acrotomus lucidulus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",45.0,50.0,1.0,,,389259.0,,
Acrotomus succinctus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",70.0,79.0,1.0,,,213490.0,,
Adelognathus acantholydae,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",3.0,4.0,1.0,,,718322.0,,
Adelognathus aciculatus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus brevicornis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",10.0,19.0,1.0,,,506915.0,,
Adelognathus brevis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Adelognathus britannicus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Adelognathus chelonus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus chrysopygus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",11.0,20.0,2.0,,,718318.0,,
Adelognathus ctenonyx,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Adelognathus cubiceps,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",3.0,4.0,1.0,,,718317.0,,
Adelognathus dealbatus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus difformis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",2.0,2.0,1.0,,,718315.0,,
Adelognathus dorsalis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",24.0,28.0,3.0,,,506916.0,,
Adelognathus elongator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus eurus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus facialis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"FE,DTN",,,,,gap,,,
Adelognathus frigidus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus genator,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus laevicollis,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE,DTN",1.0,2.0,1.0,,,718316.0,,
Adelognathus longithorax,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus maculosus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,FE,,,,,gap,,,
Adelognathus marginellus,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"BOLD,FE",0.0,3.0,0.0,,gap,718321.0,,
