species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Brachyelatus viridis,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysolampus aeneicornis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus anguliventris,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus attenuatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus brevicornis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus coeruleovirens,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus dentatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysolampus dubius,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus ellipticus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus excellens,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus foersteri,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus fuscimanus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus gibbosus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus gilvipes,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus granulatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus indubitatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus interruptus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus laevipetiolatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus pachymerus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus pallitarsis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus prominens,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysolampus punctatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus scapularis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus shurik,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysolampus subcarinatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus subsessilis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus tenuiscapus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysolampus transversus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Chrysomalla pallidivena,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysomalla roseri,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",0.0,2.0,0.0,,gap,948144.0
Chrysomalla stigmatica,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Chrysomalla striata,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Euperilampus mediterraneus,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus aeneus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"BOLD,FE,iNat,DTN",2.0,5.0,1.0,,,733943.0
Perilampus angustus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Perilampus aquilus,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus auratus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Perilampus aureoviridis,Arthropoda,Insecta,Hymenoptera,Perilampidae,"BOLD,FE,DTN",0.0,1.0,1.0,,gap,733945.0
Perilampus cephalotes,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus chlorinus,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus chrysis,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus chrysonotus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Perilampus cristatus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Perilampus cuprinus,Arthropoda,Insecta,Hymenoptera,Perilampidae,"FE,DTN",,,,,gap,
Perilampus cyaneus,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus eximius,Arthropoda,Insecta,Hymenoptera,Perilampidae,FE,,,,,gap,
Perilampus intermedius,Arthropoda,Insecta,Hymenoptera,Perilampidae,"BOLD,FE,DTN",1.0,1.0,0.0,,,767702.0
