species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Pseudogonalos hahnii,Arthropoda,Insecta,Hymenoptera,Trigonalidae,"BOLD,iNat",3.0,3.0,1.0,,,738594.0
Trigonalis hahnii,Arthropoda,Insecta,Hymenoptera,Trigonalidae,"FE,DTN",,,,,gap,
