species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Brachyserphus acuticaudatus,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,BOLD,0.0,1.0,0.0,,gap,757006.0
Brachyserphus laeviceps,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"FE,DTN",,,,,gap,
Brachyserphus parvulus,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",3.0,10.0,1.0,,,542536.0
Codrus niger,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",1.0,7.0,0.0,,,542538.0
Codrus picicornis,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",1.0,10.0,0.0,,,542539.0
Cryptoserphus aculeator,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",28.0,51.0,1.0,,,542535.0
Cryptoserphus dilatus,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",9.0,28.0,1.0,,,973722.0
Cryptoserphus flavipes,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",4.0,29.0,1.0,,,733899.0
Cryptoserphus fortis,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,BOLD,1.0,1.0,0.0,,,757007.0
Cryptoserphus longitarsis,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",0.0,14.0,0.0,,gap,733900.0
Cryptoserphus medius,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"FE,DTN",,,,,gap,
Cryptoserphus occidentalis,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,BOLD,2.0,2.0,0.0,,,767703.0
Disogmus areolator,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",5.0,18.0,2.0,,,542533.0
Disogmus basalis,Arthropoda,Insecta,Hymenoptera,Proctotrupidae,"BOLD,FE,DTN",6.0,8.0,1.0,,,733914.0
