species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Astata apostata,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",1,2,1,,,285599,,
Astata costae,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",5,6,2,HySI,,705642,,
Astata graeca,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,iNat,HySI,DTN",22,34,2,HySI,,544954,,
Astata kashmirensis,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI,DTN",23,28,4,HySI,,285601,705640.0,285603.0
Astata picea,Arthropoda,Insecta,Hymenoptera,Astatidae,BOLD,2,2,0,,,889964,,
Astata pontica,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",1,1,1,,,705641,,
Dryudella esterinae,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",2,3,0,,,967869,,
Dryudella femorallis,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI,DTN",6,11,1,BEL,,285659,,
Dryudella lineata,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",2,2,1,,,501987,,
Dryudella picticornis,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",1,1,1,,,705643,,
Dryudella pinguis,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI,DTN",11,14,1,,,285660,,
Dryudella stigma,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI,DTN",13,15,1,,,314629,,
Dryudella tricolor,Arthropoda,Insecta,Hymenoptera,Astatidae,"BOLD,FE,HySI",2,7,1,,,544964,,
