species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Alloscenia eversmanni,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aproceros leucopoda,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,iNat",9.0,11.0,1.0,,,334610.0
Aprosthema austriacum,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",1.0,1.0,1.0,,,333305.0
Aprosthema axillare,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema bifidum,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema bifurca,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema brevicorne,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema cognatum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema dalmaticum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema fusicorne,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",8.0,8.0,2.0,,,331988.0
Aprosthema humeratum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema hyalinopterum,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema instratum,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema konowi,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema maculatum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema melanurum,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",6.0,7.0,2.0,,,332004.0
Aprosthema pachycephalum,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema pallidulum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema parvulum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema peletieri,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Aprosthema simile,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema staudingeri,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema syrmiense,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema tardum,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",1.0,1.0,0.0,,,332021.0
Aprosthema tauricum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Aprosthema vittatum,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge annulata,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,1.0,1.0,1.0,,,929505.0
Arge auripennis,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge beckeri,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge berberidis,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",27.0,41.0,1.0,,,208538.0
Arge caucasica,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge ciliaris,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",62.0,68.0,1.0,,,190398.0
Arge clavicornis,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,6.0,10.0,1.0,,,332087.0
Arge cyanocrocea,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",39.0,53.0,2.0,,,81941.0
Arge dimidiata,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",25.0,28.0,2.0,,,332104.0
Arge enodis,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",16.0,17.0,1.0,,,294403.0
Arge expansa,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,DTN",18.0,20.0,1.0,,,190409.0
Arge frivaldszkyi,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",1.0,1.0,1.0,,,332123.0
Arge fuscipennis,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Arge fuscipes,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",74.0,81.0,1.0,,,190396.0
Arge gracilicornis,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",63.0,70.0,2.0,,,208540.0
Arge melanochra,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",17.0,19.0,1.0,,,208541.0
Arge metallica,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",5.0,9.0,0.0,,,294404.0
Arge nigripes,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",55.0,64.0,1.0,,,33215.0
Arge ochropus,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",23.0,49.0,4.0,,,294405.0
Arge pagana,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",21.0,56.0,2.0,,,208542.0
Arge pallidinervis,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge pleuritica,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",1.0,1.0,1.0,,,332236.0
Arge pullata,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",1.0,4.0,1.0,,,332245.0
Arge pyrenaica,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,6.0,7.0,1.0,,,386853.0
Arge rustica,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",14.0,17.0,5.0,,,208543.0
Arge scita,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",7.0,9.0,5.0,,,332267.0
Arge shawi,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",2.0,2.0,1.0,,,332273.0
Arge simulatrix,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge sorbi,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",7.0,7.0,1.0,,,332290.0
Arge stecki,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge tergestina,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Arge thoracica,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",2.0,2.0,1.0,,,332314.0
Arge ustulata,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",94.0,108.0,1.0,,,190408.0
Arge ustulata group,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,14.0,15.0,1.0,,,942485.0
Arge ustulata_group,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,229.0,230.0,1.0,,,1127429.0
Kokujewia clementi,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Sterictiphora angelicae,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,iNat,DTN",15.0,18.0,3.0,,,332760.0
Sterictiphora denticula,Arthropoda,Insecta,Hymenoptera,Argidae,"FE,DTN",,,,,gap,
Sterictiphora furcata,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",7.0,7.0,2.0,,,82622.0
Sterictiphora gastrica,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE",1.0,1.0,0.0,,,332768.0
Sterictiphora geminata,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",21.0,24.0,3.0,,,332769.0
Sterictiphora hannemanni,Arthropoda,Insecta,Hymenoptera,Argidae,FE,,,,,gap,
Sterictiphora juttae,Arthropoda,Insecta,Hymenoptera,Argidae,BOLD,1.0,1.0,1.0,,,527723.0
Sterictiphora longicornis,Arthropoda,Insecta,Hymenoptera,Argidae,"BOLD,FE,DTN",6.0,9.0,1.0,,,208544.0
