species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Alloxysta melanothorax,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta mullensis,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,1.0,1.0,1.0,,,751099.0
Alloxysta musti,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta nigricans,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta nigripes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta nigrita,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta obscurata,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",17.0,17.0,6.0,,,744887.0
Alloxysta orthocera,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta pallidicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",14.0,14.0,3.0,,,744882.0
Alloxysta patens,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta pedestris,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,1.0,1.0,,,668703.0
Alloxysta pilipennis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",13.0,14.0,4.0,,,751094.0
Alloxysta pleuralis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",2.0,3.0,1.0,,,668702.0
Alloxysta postica,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta proxima,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,9.0,9.0,1.0,,,780957.0
Alloxysta pusilla,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",7.0,9.0,2.0,,,744888.0
Alloxysta ramulifera,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",76.0,86.0,6.0,,,668699.0
Alloxysta rufa,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta rufiventris,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta sawoniewiczi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta semiaperta,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,2.0,1.0,,,668696.0
Alloxysta silvestrii,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta silvicola,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta soluta,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta testacea,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Alloxysta testaceipes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta transiens,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta tricolor,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta tscheki,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",22.0,22.0,1.0,,,668698.0
Alloxysta ullrichi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta unicolor,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta urticara,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta versicolor,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta victrix,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",100.0,108.0,21.0,,,163724.0
Alloxysta xanthocera,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Alloxysta xanthopa,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",0.0,2.0,0.0,,gap,751092.0
Amphitectus areolatus,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Anacharis eucharioides,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,15.0,17.0,3.0,,,479113.0
Anacharis eucharoides,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",85.0,85.0,2.0,,,646948.0
Anacharis gracilipes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Anacharis immunis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,3.0,0.0,,,733503.0
Anacharis imunis,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,1.0,2.0,0.0,,,710496.0
Apocharips eleaphila,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Apocharips talitzkii,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Apocharips trapezoidea,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",2.0,2.0,1.0,,,780955.0
Aspicera brevispina,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera chlapowskii,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera coriacea,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera dahlbomi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera hartigi,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",4.0,6.0,0.0,,,710517.0
Aspicera longispina,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera nigra,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera rugosa,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,2.0,0.0,,,800411.0
Aspicera scutellata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,3.0,3.0,0.0,,,340235.0
Aspicera spinosa,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera suecica,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Aspicera tenuispina,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia aberrans,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia areolata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia brevifurca,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia defonscolombei,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",7.0,7.0,1.0,,,734346.0
Callaspidia dufouri,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia dusmeti,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia ligurica,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia marshalli,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia mediterranea,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia notata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia rubricrus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Callaspidia westwoodi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Chrestosema antennale,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Chrestosema erythropum,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",5.0,6.0,0.0,,,710504.0
Chrestosema eurytrypum,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,1.0,13.0,0.0,,,710505.0
Chrestosema laevicolle,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",3.0,10.0,0.0,,,710506.0
Chrestosema laeviusculum,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Cothonaspis gracilis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",0.0,1.0,0.0,,gap,710518.0
Cothonaspis longula,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Cothonaspis nigricornis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Cothonaspis pentatoma,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Didyctium advena,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Didyctium brunnea,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Didyctium brunneum,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,0.0,3.0,0.0,,gap,710490.0
Didyctium nigriclava,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Didyctium semiclausa,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Didyctium semiclausum,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,0.0,4.0,0.0,,gap,804108.0
Diglyphosema centaureae,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Diglyphosema conjungens,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Diglyphosema eupatorii,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Diglyphosema jacqueti,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Diglyphosema ovale,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,3.0,6.0,1.0,,,710491.0
Diglyphosema ovalis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Diglyphosema punctatum,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Dilyta subclavata,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",13.0,17.0,3.0,,,710502.0
Disorygma carpentieri,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Disorygma curtum,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",0.0,1.0,0.0,,gap,930454.0
Disorygma depile,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",24.0,26.0,1.0,,,646927.0
Disorygma luteipes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Disorygma parva,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Eucoila bimaculata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Eucoila crassinerva,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Eucoila decipiens,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Eucoila effluens,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Eucoila floralis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Eucoila hyalinata,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Eucoila maculata,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,1.0,0.0,,,780953.0
Eutrias tritoma,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites affinis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites agnatus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites anthomyiarum,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,2.0,0.0,,,710507.0
Figites apicalis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites capitulatus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites consobrinus,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,1.0,0.0,,,804109.0
Figites coriaceus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites corsicus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites elongatus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites erythropus,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Figites faeroensis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites foersteri,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Figites fuscinervis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites globulosus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites ictus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites jurinei,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites laevigatus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites maritimus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites melanostomus,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Figites nitens,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Figites nitescens,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites ovulosus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites politus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites reinhardi,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",2.0,5.0,0.0,,,646932.0
Figites rubripes,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites rugosus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites scutatus,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites scutellaris,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,FE,gap,
Figites striolatus,Arthropoda,Insecta,Hymenoptera,Figitidae,"FE,DTN",,,,,gap,
Figites susterai,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites urticarum,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Figites validicornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",1.0,1.0,0.0,,,710514.0
Ganaspis assimilis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Ganaspis dubia,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Ganaspis hofferi,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Ganaspis mundata,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",3.0,4.0,1.0,,,516225.0
Ganaspis seticornis,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",48.0,50.0,2.0,,,710515.0
Glauraspidia copulata,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",0.0,1.0,0.0,,gap,780943.0
Glauraspidia fennica,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE",7.0,8.0,1.0,,,780949.0
Glauraspidia microptera,Arthropoda,Insecta,Hymenoptera,Figitidae,"BOLD,FE,DTN",1.0,9.0,0.0,,,516222.0
Gronotoma allotriaeformis,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma alotriaeformis,Arthropoda,Insecta,Hymenoptera,Figitidae,BOLD,1.0,1.0,0.0,,,710499.0
Gronotoma bistriata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
Gronotoma excavata,Arthropoda,Insecta,Hymenoptera,Figitidae,FE,,,,,gap,
