species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Andrena wilkella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",102,150,4,,,20928,1073943.0,,
Camptopoeum friesei,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,3,0,,gap,501993,,,
Camptopoeum frontale,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,DTN",0,12,0,,gap,21728,,,
Flavipanurgus flavus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,2,0,,gap,695638,,,
Flavipanurgus fuzetus,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,1,0,,gap,695639,,,
Flavipanurgus granadensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,695640,,,
Flavipanurgus ibericus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,5,1,,gap,695641,,,
Flavipanurgus kastiliensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,2,0,,,974396,,,
Halopanurgus baldocki,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,1,0,,,1137968,,,
Melitturga caudata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,1,0,,,695633,,,
Melitturga clavicornis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,12,1,,,247046,,,
Panurginus albopilosus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,0,ITIS,,695672,,,
Panurginus herzi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",6,13,0,,,599635,,,
Panurginus labiatus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,4,0,,,501985,,,
Panurginus montanus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,13,1,,,214306,,,
Panurginus romani,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",7,7,1,,,267002,,,
Panurginus sericatus,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,11,12,1,,,599636,,,
Panurgus banksianus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",13,36,1,,,214307,,,
Panurgus calcaratus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",59,75,4,,,9249,,,
Panurgus canescens,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,5,0,,,247040,,,
Panurgus dargius,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,695655,,,
Panurgus dentipes,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",126,152,1,,,247035,,,
Panurgus perezi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",4,5,0,,,247033,,,
Panurgus siculus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,4,0,,,695659,,,
