species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Andrena corax,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,1,,,694869,,,
Andrena corssubalpina,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,1,0,,,694871,,,
Andrena curtula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,9,0,,,510453,265293.0,,
Andrena curvana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,608462,,,
Andrena curvungula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",5,34,1,,,250369,,,
Andrena decipiens,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",1,17,0,,,250370,,,
Andrena denticulata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",21,31,1,,,214077,,,
Andrena discors,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,3,0,,,260635,,,
Andrena distinguenda,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,16,1,,,250371,,,
Andrena djelfensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,6,0,,,694901,,,
Andrena dorsalis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,2,1,,,694905,,,
Andrena dorsata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",89,155,4,ITIS,,198492,198493.0,,
Andrena doursana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",9,10,0,,,694906,,,
Andrena elata,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,1,0,,gap,694915,,,
Andrena enslinella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",2,6,1,,,265294,,,
Andrena fabrella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",8,9,0,,,694936,,,
Andrena falsifica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",16,32,1,,,216710,,,
Andrena farinosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,6,0,,,694942,,,
Andrena ferox,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",2,8,0,,,250373,,,
Andrena ferrugineicrus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",10,14,0,,,694945,,,
Andrena flavilabris,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,DTN",5,8,0,,,942467,,,
Andrena flavipes,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",68,172,1,,,216711,,,
Andrena florea,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",29,48,2,,,250374,,,
Andrena florentina,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,9,0,,,694957,,,
Andrena floricola,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,19,1,,,265295,,,
Andrena florivaga,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,8,2,,,250375,,,
Andrena foeniculae,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,1,0,,,1129834,,,
Andrena forsterella,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,2,,,694960,,,
Andrena freygessneri,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,2,1,,,694964,,,
Andrena fucata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",15,45,2,,,214078,,,
Andrena fulica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",10,11,0,,,694967,,,
Andrena fulvago,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",28,37,1,,,250376,,,
Andrena fulvata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,20,1,,,214309,,,
Andrena fulvida,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",9,13,2,,,250378,,,
Andrena funerea,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,2,0,,,694972,,,
Andrena fuscipes,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",21,42,1,,,214088,,,
Andrena fuscosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",13,20,1,,,694975,247050.0,,
Andrena gallica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,8,0,,,451880,,,
Andrena gelriae,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,26,1,,,379205,,,
Andrena gomerensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,39,0,,,1121518,,,
Andrena granulosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,6,1,,,250379,,,
Andrena gredana,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,2,0,,gap,1073946,,,
Andrena griseobalteata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",49,77,1,,,695003,216712.0,,
Andrena haemorrhoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",90,120,1,,,198498,,,
Andrena hedikae,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",8,13,0,,,695015,,,
Andrena helvola,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",28,57,3,,,198499,,,
Andrena hesperia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",13,16,1,,,695023,,,
Andrena hispania,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,0,,,695033,,,
Andrena humilis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",22,32,3,,,216713,,,
Andrena hypopolia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",6,18,1,,,250381,,,
Andrena hystrix,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",4,10,0,,,695044,,,
Andrena impressa,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,4,7,1,,,1073947,,,
Andrena impunctata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",7,10,1,,,695050,,,
Andrena juliana,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,3,4,0,,,1129840,,,
Andrena labiata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",29,34,3,,,256555,,,
Andrena lagopus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",12,31,2,,,250383,,,
Andrena lapponica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",42,63,2,,,214073,,,
Andrena lateralis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,2,0,,,695110,,,
Andrena lathyri,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",14,29,1,,,250384,,,
Andrena laurivora,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,1,0,,gap,695114,,,
Andrena lepida,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,17,1,,,396871,,,
Andrena leptopyga,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",7,7,0,,,695120,,,
Andrena leucolippa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,6,0,,,695124,,,
Andrena levante,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,0,4,0,,gap,1073945,,,
Andrena limata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",18,30,2,,,293493,,,
Andrena limbata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,6,0,,,695132,,,
Andrena lineolata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",44,65,0,,,695135,,,
Andrena livens,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",8,8,0,,,695136,,,
Andrena longibarbis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,6,0,,,695137,,,
Andrena marginata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",36,54,3,ITIS,,250385,198501.0,,
Andrena mariana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",7,10,1,,,695161,344579.0,,
Andrena medeninensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",8,8,0,ITIS,,695166,695262.0,,
Andrena mediovittata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,4,0,ITIS,,695169,,,
Andrena minutula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",110,181,3,,,198534,,,
Andrena minutuloides,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",61,82,1,,,198535,,,
Andrena mitis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",24,38,1,,,216715,,,
Andrena mocsaryi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,1,0,,gap,695197,,,
Andrena monilia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,3,1,,,695201,,,
Andrena morio,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",16,21,3,,,250387,,,
Andrena mucida,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",5,5,0,,,695208,,,
Andrena mucronata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,1,,,695210,,,
Andrena murana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,0,,,695212,,,
Andrena nana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",14,29,1,,,265296,,,
Andrena nanula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,13,0,,,265297,,,
Andrena nasuta,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",8,10,1,,,250388,,,
Andrena nebularia,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,695225,,,
Andrena nigriceps,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",0,19,0,,gap,250389,,,
Andrena nigroaenea,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,iNat,DTN",77,97,1,,,214074,,,
Andrena nigroolivacea,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",8,9,1,,,695233,,,
Andrena nigroviridula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",1,2,0,,,695234,,,
Andrena nilotica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,1,0,,gap,695235,,,
Andrena nitida,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",52,64,3,,,198500,,,
Andrena nitidiuscula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",15,46,4,,,250390,250377.0,,
Andrena nitidula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,16,1,,,250391,,,
Andrena niveata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,25,1,,,265298,,,
Andrena nudigastroides,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",21,60,2,ITIS,,250360,,,
Andrena nuptialis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,9,1,,,250392,,,
Andrena nycthemera,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,12,1,,,216716,,,
Andrena orana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,3,1,,,695263,,,
Andrena orbitalis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",4,6,0,,,260637,,,
Andrena ovatula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",61,169,5,,,216717,1159844.0,606179.0,396870.0
Andrena oviventris,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,7,0,,,695272,,,
Andrena pallitarsis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,7,1,,,250393,,,
Andrena pandellei,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",8,39,2,,,250394,,,
Andrena pandosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,14,1,,,695277,,,
Andrena panurgina,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,4,0,ITIS,,695281,,,
Andrena pastellensis,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,1,1,1,,,590708,,,
Andrena paucisquama,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",5,8,2,,,250395,,,
Andrena pilipes,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",54,89,3,,,198495,256599.0,,
Andrena polita,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,15,1,,,250396,,,
Andrena potentillae,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",12,12,1,,,250397,,,
Andrena praecox,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",25,53,2,,,216718,,,
Andrena proxima,Arthropoda,Insecta,Hymenoptera,Andrenidae,BOLD,26,111,2,BEL,,710276,,,
Andrena pruinosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",11,14,2,,,695319,1156705.0,250364.0,
Andrena pusilla,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",51,61,1,,,265299,,,
Andrena ranunculi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",10,10,0,,,695344,,,
Andrena relata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,3,0,,,695347,,,
Andrena reperta,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,2,0,,,695348,,,
Andrena rhenana,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",26,30,1,,,250398,,,
Andrena rhyssonota,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",3,4,0,,,260636,,,
Andrena rogenhoferi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,iNat,DTN",3,5,1,,,250399,,,
Andrena rosae,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",7,25,1,ITIS,,250400,590707.0,250372.0,
Andrena ruficrus,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",6,21,1,,,214079,,,
Andrena rufizona,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",0,10,0,,gap,197342,,,
Andrena rufula,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",6,6,1,,,501980,,,
Andrena rugulosa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",2,6,0,,,265300,,,
Andrena sardoa,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",2,6,0,,,695380,,,
Andrena savignyi,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",11,26,0,ITIS,,344577,191427.0,,
Andrena saxonica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",4,13,0,,,542499,,,
Andrena schencki,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,14,1,,,250401,,,
Andrena scita,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",0,2,0,,gap,252964,,,
Andrena scotica,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,iNat,DTN",17,21,1,,,386880,,,
Andrena semilaevis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",21,37,1,,,214080,,,
Andrena senecionis,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE",11,11,0,,,695403,,,
Andrena sericata,Arthropoda,Insecta,Hymenoptera,Andrenidae,"BOLD,FE,DTN",3,7,1,,,250402,,,
