x,y,species logistic values
1.0,1.0,3.5851647E-4
2.0,2.0,0.07857531
3.0,3.0,0.011917377
4.0,4.0,0.06614624
5.0,5.0,2.0648462E-4
6.0,6.0,0.008868705
7.0,7.0,0.0421381
8.0,8.0,0.1287221
9.0,9.0,0.5387746
10.0,10.0,0.20461638
11.0,11.0,0.14300753
12.0,12.0,0.3929319
13.0,13.0,0.1584233
14.0,14.0,2.1305746E-4
15.0,15.0,0.24363701
16.0,16.0,0.33390167
17.0,17.0,1.662772E-5
18.0,18.0,0.00923627
19.0,19.0,1.5962803E-4
20.0,20.0,0.14734165
21.0,21.0,0.008189308
22.0,22.0,0.011405006
23.0,23.0,0.15962565
24.0,24.0,0.019674806
25.0,25.0,0.062277343
26.0,26.0,0.1727442
27.0,27.0,0.0021468156
28.0,28.0,1.381443E-7
29.0,29.0,0.009349823
30.0,30.0,0.38800365
31.0,31.0,0.015059598
32.0,32.0,0.21891055
33.0,33.0,0.027238127
34.0,34.0,0.0965439
35.0,35.0,0.006537713
36.0,36.0,0.3394622
37.0,37.0,0.03018482
38.0,38.0,0.14504781
39.0,39.0,0.013191017
40.0,40.0,0.008050196
41.0,41.0,0.0038336471
42.0,42.0,0.15128756
43.0,43.0,0.2503438
44.0,44.0,0.40217942
45.0,45.0,0.07247436
46.0,46.0,0.6715609
47.0,47.0,0.005372913
48.0,48.0,0.15839228
49.0,49.0,0.26690334
50.0,50.0,0.028535748
51.0,51.0,0.0010675818
52.0,52.0,0.30227655
53.0,53.0,0.3330769
54.0,54.0,0.0016303802
55.0,55.0,0.53489983
56.0,56.0,0.0064503965
57.0,57.0,9.1046793E-4
58.0,58.0,0.06242627
59.0,59.0,0.11711405
60.0,60.0,0.009958728
61.0,61.0,0.39059108
62.0,62.0,0.027500639
63.0,63.0,0.009058313
64.0,64.0,0.022030428
65.0,65.0,0.03991008
66.0,66.0,0.06576192
67.0,67.0,0.050080772
68.0,68.0,0.010617697
69.0,69.0,0.08215472
70.0,70.0,0.39871892
71.0,71.0,0.0012521001
72.0,72.0,0.17352071
73.0,73.0,0.5208243
74.0,74.0,0.58350295
75.0,75.0,0.17853838
76.0,76.0,0.0047798944
77.0,77.0,0.13882422
78.0,78.0,0.0662987
79.0,79.0,0.002713411
80.0,80.0,0.061180223
81.0,81.0,0.23010541
82.0,82.0,0.32736713
83.0,83.0,0.07795224
84.0,84.0,0.031842727
85.0,85.0,0.07615656
86.0,86.0,0.07285531
87.0,87.0,0.037096467
88.0,88.0,0.021404993
89.0,89.0,0.0019317293
90.0,90.0,0.054293938
91.0,91.0,0.115352094
92.0,92.0,0.037152678
93.0,93.0,0.4987918
94.0,94.0,0.5375368
95.0,95.0,0.072690465
96.0,96.0,0.63884896
97.0,97.0,0.5596777
98.0,98.0,7.6646475E-6
99.0,99.0,0.015294781
100.0,100.0,0.2083433
101.0,101.0,0.14299685
102.0,102.0,0.6144059
103.0,103.0,0.12723051
104.0,104.0,0.0141257085
105.0,105.0,0.048861135
106.0,106.0,0.49194214
107.0,107.0,0.4247631
108.0,108.0,0.4053008
109.0,109.0,0.2014734
110.0,110.0,0.021558557
111.0,111.0,0.49111444
112.0,112.0,0.42950428
113.0,113.0,0.012992819
114.0,114.0,0.031470884
115.0,115.0,0.13610594
116.0,116.0,0.17724451
117.0,117.0,0.013480922
118.0,118.0,0.101528026
119.0,119.0,3.905567E-5
120.0,120.0,0.40774873
121.0,121.0,0.5022055
122.0,122.0,0.3897182
123.0,123.0,0.05731212
124.0,124.0,0.004676625
125.0,125.0,0.078469954
126.0,126.0,0.014817215
127.0,127.0,0.064433865
128.0,128.0,0.0942215
129.0,129.0,0.04222898
130.0,130.0,0.00821883
131.0,131.0,0.02615823
132.0,132.0,0.010580656
133.0,133.0,0.0050693597
134.0,134.0,0.0022012058
135.0,135.0,0.03249829
136.0,136.0,0.027245201
137.0,137.0,0.0854082
138.0,138.0,0.13351205
139.0,139.0,0.0029282032
140.0,140.0,0.02294706
141.0,141.0,0.21947171
142.0,142.0,0.7737422
143.0,143.0,0.011080409
144.0,144.0,0.32779887
145.0,145.0,0.076532826
146.0,146.0,0.092254564
147.0,147.0,9.0628955E-6
148.0,148.0,0.4391567
149.0,149.0,0.048075985
150.0,150.0,0.0017218924
151.0,151.0,0.45461375
152.0,152.0,0.17942208
153.0,153.0,0.06289784
154.0,154.0,0.24270803
155.0,155.0,0.6434699
156.0,156.0,2.710639E-4
157.0,157.0,0.6307238
158.0,158.0,0.037768018
159.0,159.0,0.17140216
160.0,160.0,0.016610887
161.0,161.0,0.026954044
162.0,162.0,0.018441461
163.0,163.0,0.040539086
164.0,164.0,0.005599736
165.0,165.0,0.15760988
166.0,166.0,0.018588528
167.0,167.0,0.08185693
168.0,168.0,0.21110156
169.0,169.0,0.01245367
170.0,170.0,0.09118024
171.0,171.0,0.2909349
172.0,172.0,0.09312878
173.0,173.0,0.07915857
174.0,174.0,0.016296715
175.0,175.0,0.031590845
176.0,176.0,0.21362637
177.0,177.0,3.2057946E-5
178.0,178.0,0.4891168
179.0,179.0,0.16685848
180.0,180.0,0.60256183
181.0,181.0,0.016369663
182.0,182.0,0.7463214
183.0,183.0,0.012269141
184.0,184.0,0.18100291
185.0,185.0,0.17754255
186.0,186.0,0.023557803
187.0,187.0,0.6000423
188.0,188.0,3.5353817E-6
189.0,189.0,0.015428662
190.0,190.0,0.4924735
191.0,191.0,0.011686693
192.0,192.0,2.492119E-4
193.0,193.0,0.4924373
194.0,194.0,0.09387015
195.0,195.0,0.015420691
196.0,196.0,0.15285698
197.0,197.0,0.055716228
198.0,198.0,0.12752447
199.0,199.0,0.0200566
200.0,200.0,0.20785016
201.0,201.0,0.033641905
202.0,202.0,0.606393
203.0,203.0,0.40817738
204.0,204.0,0.0043746135
205.0,205.0,0.015467749
206.0,206.0,0.09526309
207.0,207.0,0.009612724
208.0,208.0,0.027629688
209.0,209.0,0.15126471
210.0,210.0,0.010083637
211.0,211.0,7.320554E-4
212.0,212.0,0.20261359
213.0,213.0,0.035197724
214.0,214.0,0.07547234
215.0,215.0,7.6900644E-5
216.0,216.0,0.0362524
217.0,217.0,0.54402936
218.0,218.0,0.092604116
219.0,219.0,0.6430951
220.0,220.0,0.20859994
221.0,221.0,0.658332
222.0,222.0,0.092469394
223.0,223.0,0.4349519
224.0,224.0,0.07634127
225.0,225.0,0.012549132
226.0,226.0,0.4176692
227.0,227.0,0.6432148
228.0,228.0,0.08225933
229.0,229.0,0.0014460206
230.0,230.0,0.2945669
231.0,231.0,0.058541585
232.0,232.0,0.011845256
233.0,233.0,0.4640641
234.0,234.0,0.48177955
235.0,235.0,0.019336632
236.0,236.0,0.023543818
237.0,237.0,0.14881296
238.0,238.0,0.004661692
239.0,239.0,0.02062592
240.0,240.0,0.40470585
241.0,241.0,0.0018263349
242.0,242.0,0.039611425
243.0,243.0,0.03869009
244.0,244.0,0.012758529
245.0,245.0,0.24505873
246.0,246.0,0.028081302
247.0,247.0,0.18050236
248.0,248.0,5.0030876E-4
249.0,249.0,0.10101443
250.0,250.0,0.018111203
251.0,251.0,0.076242544
252.0,252.0,0.10449317
253.0,253.0,0.040488936
254.0,254.0,0.014663166
255.0,255.0,0.02637542
256.0,256.0,0.09431847
257.0,257.0,0.18448159
258.0,258.0,0.13246419
259.0,259.0,0.012514757
260.0,260.0,0.10118012
261.0,261.0,0.12940429
262.0,262.0,0.057622306
263.0,263.0,0.062330462
264.0,264.0,0.70239
265.0,265.0,0.2186959
266.0,266.0,0.60123056
267.0,267.0,0.10261786
268.0,268.0,0.09611725
269.0,269.0,0.6268189
