X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,7.361185622742004E-4,87.77220483256865,0.7429819705454433
2.0,2.0,train,6.257298275175731E-4,79.51948262805972,0.7107548630678205
3.0,3.0,train,1.8488006901931152E-6,0.07845459622778889,0.007208008270574018
4.0,4.0,train,6.726618553583967E-4,83.38347631493501,0.7253938992235116
5.0,5.0,train,6.751218951142353E-4,83.72549887294826,0.7261204714539411
6.0,6.0,train,5.29106919443378E-4,73.38651940370676,0.6750959398121661
7.0,7.0,train,6.8703002070326E-4,84.77961543766372,0.7295838701351579
8.0,8.0,train,6.33498579314604E-4,80.44304591587206,0.7132849458154531
9.0,9.0,train,8.221449195862196E-4,92.96427340446152,0.7635155484994276
10.0,10.0,train,4.0402028157321585E-5,7.211510434719588,0.13693476112151212
11.0,11.0,train,8.141104528170867E-4,92.71121186496326,0.7617377530091218
12.0,12.0,train,7.550117766728235E-4,88.5180616680305,0.7477914292476565
13.0,13.0,train,6.784681884279909E-4,84.02745409566229,0.727102648577074
14.0,14.0,train,2.5371733226952747E-4,37.62136439315953,0.499088783298309
15.0,15.0,train,6.428720656689765E-4,81.05972167405486,0.716279343787742
16.0,16.0,train,4.8555682280664833E-4,68.77128105362026,0.6559800365827992
17.0,17.0,train,8.787145524112442E-4,95.52593463826,0.7753192632913751
18.0,18.0,train,1.2872291650832708E-4,22.00331742267123,0.33576968338740637
19.0,19.0,train,3.267504213336821E-4,48.476649336370194,0.5620118276051257
20.0,20.0,train,6.880052805424971E-4,84.81018926029928,0.729863641261598
21.0,21.0,train,3.8218038539253253E-4,56.54038181985816,0.6001348601839027
22.0,22.0,train,1.5978216404687772E-4,26.171472299254194,0.3855505762016606
23.0,23.0,train,8.305152016316569E-4,93.45490031389002,0.7653396513082988
24.0,24.0,train,3.6797645253739493E-4,54.21303280431651,0.5910126742341631
25.0,25.0,train,7.182515129551619E-4,86.45247603211915,0.7382618800994661
26.0,26.0,train,1.4596527778012593E-4,24.094954146969197,0.3643584001848354
27.0,27.0,train,1.8946727918333665E-4,30.34492106513381,0.4266213877580538
