species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Adscita albanica,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",4.0,12.0,1.0,,,259341.0,
Adscita alpina,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",16.0,18.0,1.0,,,311226.0,
Adscita bolivari,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",5.0,5.0,1.0,,,259343.0,
Adscita capitalis,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"FE,LF",,,,,gap,,
Adscita dujardini,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,LF",12.0,13.0,1.0,,,642170.0,
Adscita geryon,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",77.0,88.0,5.0,,,258126.0,
Adscita italica,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",10.0,14.0,2.0,,,259336.0,
Adscita jordani,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",12.0,12.0,1.0,,,259333.0,
Adscita krymensis,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,259334.0,
Adscita mannii,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",49.0,58.0,1.0,,,259342.0,
Adscita obscura,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",24.0,35.0,1.0,,,259339.0,
Adscita schmidti,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF",5.0,5.0,1.0,,,259335.0,
Adscita statices,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF,iNat",48.0,60.0,3.0,,,259337.0,
Aglaope infausta,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,FE,LF,iNat",4.0,13.0,1.0,,,259356.0,
Artona martini,Arthropoda,Insecta,Lepidoptera,Zygaenidae,"BOLD,LF",2.0,3.0,1.0,,,595476.0,
