species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Acrolepia autumnitella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",18.0,22.0,1.0,,,197997.0
Acrolepiopsis assectella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",54.0,60.0,1.0,,,17865.0
Acrolepiopsis betulella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Acrolepiopsis caucasica,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,LF,,,,,gap,
Acrolepiopsis infundibulosa,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Acrolepiopsis marcidella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Acrolepiopsis mauli,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Acrolepiopsis tauricella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Acrolepiopsis vesperella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",10.0,11.0,2.0,,,362518.0
Digitivalva arnicella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",14.0,15.0,1.0,,,179148.0
Digitivalva christophi,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva eglanteriella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",2.0,2.0,0.0,,,1142092.0
Digitivalva granitella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",7.0,8.0,1.0,,,404705.0
Digitivalva heringi,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva macedonica,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva occidentella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva orientella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",1.0,1.0,0.0,,,787028.0
Digitivalva pappella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",1.0,1.0,1.0,,,362519.0
Digitivalva perlepidella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",4.0,4.0,0.0,,,892078.0
Digitivalva piozae,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,LF",3.0,3.0,1.0,,,768542.0
Digitivalva pulicariae,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",7.0,9.0,1.0,,,197924.0
Digitivalva reticulella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",12.0,12.0,1.0,,,183462.0
Digitivalva seligeri,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,LF,,,,,gap,
Digitivalva solidaginis,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva valeriella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Digitivalva wolfschlaegeri,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix argyroguttella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",2.0,2.0,1.0,,,459668.0
Glyphipterix bergstraesserella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",14.0,20.0,1.0,,,179050.0
Glyphipterix danilevskii,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix diaphora,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix equitella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",52.0,61.0,7.0,,,183444.0
Glyphipterix forsterella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",54.0,57.0,2.0,,,179139.0
Glyphipterix fortunatella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",0.0,2.0,0.0,,gap,1157965.0
Glyphipterix fuscoviridella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",9.0,11.0,1.0,,,197983.0
Glyphipterix gianelliella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",9.0,10.0,1.0,,,266467.0
Glyphipterix haworthana,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",18.0,24.0,2.0,,,271553.0
Glyphipterix heptaglyphella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix loricatella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix minorella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,BOLD,0.0,1.0,0.0,,gap,719642.0
Glyphipterix nicaeella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",1.0,2.0,0.0,,,723005.0
Glyphipterix pygmaeella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix schoenicolella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",18.0,22.0,1.0,,,205645.0
Glyphipterix simpliciella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",511.0,516.0,4.0,,,198074.0
Glyphipterix sulcosa,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"FE,LF",,,,,gap,
Glyphipterix thrasonella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",27.0,30.0,2.0,,,197836.0
Glyphipterix umbilici,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,981203.0
Inuliphila orientella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,LF,,,,LF,gap,
Lepidotarphius perornatella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,LF,,,,,gap,
Orthotelia sparganella,Arthropoda,Insecta,Lepidoptera,Glyphipterigidae,"BOLD,FE,LF,iNat",13.0,15.0,1.0,,,197933.0
