species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Yponomeuta mahalebella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF",1.0,5.0,0.0,,,298974.0,
Yponomeuta malinella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,BOLD,4.0,8.0,1.0,,,801703.0,
Yponomeuta malinellus,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",86.0,92.0,1.0,,,33166.0,
Yponomeuta morbillosus,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,LF,,,,,gap,,
Yponomeuta padella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",73.0,95.0,1.0,,,91855.0,
Yponomeuta plumbella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",66.0,72.0,2.0,,,198108.0,
Yponomeuta rorrella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",15.0,18.0,1.0,,,298972.0,
Yponomeuta sedella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",28.0,30.0,1.0,,,179128.0,
Zelleria abisella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"FE,LF",,,,,gap,,
Zelleria hepariella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",32.0,39.0,2.0,,,255701.0,
Zelleria oleastrella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"BOLD,FE,LF,iNat",48.0,50.0,1.0,,,518764.0,
Zelleria plumbeella,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"FE,LF",,,,,gap,,
Zelleria wolffi,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,"FE,LF",,,,,gap,,
