species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Alabonia chapmani,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"FE,LF",,,,,gap,,
Alabonia geoffrella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF,iNat",9.0,11.0,1.0,,,198031.0,
Alabonia herculeella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,981290.0,
Alabonia staintoniella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",3.0,4.0,0.0,,,782875.0,
Aplota nigricans,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",8.0,8.0,1.0,,,324153.0,344471.0
Aplota palpella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE",7.0,8.0,1.0,,,298978.0,
Aplota palpellus,Arthropoda,Insecta,Lepidoptera,Oecophoridae,LF,,,,,gap,,
Batia hilszczanskii,Arthropoda,Insecta,Lepidoptera,Oecophoridae,LF,,,,,gap,,
Batia inexpectella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",3.0,3.0,1.0,,,787030.0,
Batia internella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",13.0,18.0,1.0,,,298994.0,
Batia lambdella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF,iNat",26.0,27.0,1.0,,,205653.0,
Batia lunaris,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF,iNat",47.0,84.0,1.0,,,91852.0,
Batia lutosella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",2.0,2.0,0.0,,,856761.0,
Batia samosella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,FE,LF",2.0,4.0,1.0,,,753448.0,
Batia unitella,Arthropoda,Insecta,Lepidoptera,Oecophoridae,BOLD,0.0,1.0,0.0,,gap,179104.0,
Borkhausenia crimnodes,Arthropoda,Insecta,Lepidoptera,Oecophoridae,"BOLD,LF",2.0,2.0,1.0,,,907853.0,
