species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Stenoptilia linariae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,2.0,2.0,0.0,,,973492.0,,,,,,,
Stenoptilia lucasi,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia lutescens,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",4.0,5.0,1.0,,,324123.0,,,,,,,
Stenoptilia mannii,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia mariaeluisae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",14.0,19.0,1.0,,,769241.0,,,,,,,
Stenoptilia mengeli,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,16.0,16.0,2.0,,,123048.0,,,,,,,
Stenoptilia meyeri,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia millieridactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Stenoptilia millieridactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE",1.0,3.0,0.0,,,973491.0,,,,,,,
Stenoptilia mimula,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",5.0,7.0,1.0,,,362511.0,,,,,,,
Stenoptilia nepetellae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",3.0,4.0,0.0,LF,,508720.0,973493.0,,,,,,
Stenoptilia nolckeni,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,2.0,1.0,,,369668.0,,,,,,,
Stenoptilia parnasia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,973494.0,,,,,,,
Stenoptilia pelidnodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",20.0,46.0,2.0,LF,,285567.0,246327.0,324131.0,285564.0,285565.0,285563.0,285568.0,285571.0
Stenoptilia plagiodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",31.0,32.0,1.0,,,508721.0,,,,,,,
Stenoptilia pneumonanthes,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",10.0,18.0,1.0,LF,,285570.0,285560.0,,,,,,
Stenoptilia pterodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF,iNat",36.0,45.0,1.0,,,224883.0,,,,,,,
Stenoptilia reisseri,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Stenoptilia scabiodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Stenoptilia serotinus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,LF",0.0,1.0,0.0,,gap,508722.0,,,,,,,
Stenoptilia stenodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Stenoptilia stigmatodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,BOLD,7.0,7.0,2.0,,,298636.0,,,,,,,
Stenoptilia stigmatodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",2.0,6.0,1.0,,,508711.0,,,,,,,
Stenoptilia stigmatoides,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,787043.0,,,,,,,
Stenoptilia veronicae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",7.0,10.0,1.0,,,271618.0,,,,,,,
Stenoptilia zophodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",69.0,74.0,3.0,BEL,,20480.0,319086.0,,,,,,
Stenoptilodes taprobanes,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",37.0,50.0,1.0,,,209735.0,,,,,,,
Tabulaephorus decipiens,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Tabulaephorus marptys,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Tabulaephorus punctinervis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",0.0,4.0,0.0,,gap,526167.0,,,,,,,
Tabulaephorus tyrrhenica,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Wheeleria ivae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Wheeleria lyrae,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Wheeleria obsoletus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",7.0,7.0,1.0,,,787044.0,,,,,,,
Wheeleria phlomidactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,LF,,,,,gap,,,,,,,,
Wheeleria phlomidis,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Wheeleria raphiodactyla,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"FE,LF",,,,,gap,,,,,,,,
Wheeleria spilodactylus,Arthropoda,Insecta,Lepidoptera,Pterophoridae,"BOLD,FE,LF",21.0,21.0,2.0,,,362513.0,,,,,,,
