species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Chilena sordida,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"FE,LF",21.0,23.0,1.0,,,347385.0,
Chondrostega escobesae,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,LF,,,,,gap,,
Chondrostega pastrana,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"FE,LF",2.0,4.0,0.0,,,384258.0,
Chondrostega vandalicia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",3.0,3.0,0.0,,,381488.0,
Cosmotriche lobulina,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",94.0,113.0,2.0,,,205607.0,
Dendrolimus kilmez,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,LF,0.0,1.0,0.0,,gap,907791.0,
Dendrolimus pini,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",88.0,103.0,1.0,,,51052.0,
Dendrolimus sibiricus,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,LF,143.0,184.0,1.0,,,907581.0,
Dendrolimus superans,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,FE,122.0,145.0,1.0,,,51055.0,
Eriogaster arbusculae,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",9.0,12.0,1.0,,,183382.0,
Eriogaster catax,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",9.0,12.0,2.0,,,205580.0,
Eriogaster henkei,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"FE,LF",5.0,8.0,0.0,,,347401.0,
Eriogaster inspersa,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,LF,1.0,1.0,0.0,,,395892.0,
Eriogaster lanestris,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",28.0,36.0,1.0,,,205582.0,
Eriogaster neogena,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"FE,LF",2.0,5.0,0.0,,,340698.0,
Eriogaster rimicola,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",6.0,8.0,0.0,,,395890.0,
Euthrix potatoria,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",44.0,52.0,1.0,,,162456.0,
Gastropacha populifolia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",34.0,39.0,2.0,,,284842.0,359701.0
Gastropacha quercifolia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",93.0,97.0,1.0,,,266421.0,
Gufria limosa,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,BOLD,0.0,2.0,0.0,,gap,981194.0,
Lasiocampa cocles,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,BOLD,1.0,1.0,0.0,,,395895.0,
Lasiocampa eversmanni,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",9.0,10.0,0.0,,,314757.0,
Lasiocampa grandis,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF",6.0,6.0,1.0,,,297949.0,
Lasiocampa quercus,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"BOLD,FE,LF,iNat",47.0,53.0,1.0,,,86569.0,
Lasiocampa serrula,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,"FE,LF",3.0,3.0,0.0,,,314754.0,
