species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Acherontia atropos,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",39.0,1566.0,1.0,,,22140.0,,
Agrius cingulata,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,LF",146.0,561.0,1.0,,,16244.0,,
Agrius convolvuli,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",323.0,3761.0,2.0,,,16245.0,,
Clarina syriaca,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",4.0,41.0,2.0,,,93503.0,,
Daphnis nerii,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",84.0,1145.0,1.0,,,34105.0,528872.0,
Deilephila elpenor,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",91.0,3211.0,1.0,,,53757.0,,
Deilephila porcellus,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",74.0,2373.0,1.0,,,75702.0,75703.0,
Dolbina elegans,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",6.0,74.0,0.0,,,93415.0,,
Hemaris croatica,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",5.0,161.0,2.0,,,75626.0,465723.0,
Hemaris fuciformis,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",45.0,1705.0,1.0,,,75627.0,,
Hemaris tityus,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",17.0,1569.0,1.0,,,75628.0,,
Hippotion celerio,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",171.0,2597.0,2.0,,,20310.0,,
Hippotion osiris,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",17.0,432.0,1.0,,,64285.0,,
Hyles cretica,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",1.0,14.0,0.0,,,75689.0,,
Hyles dahlii,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",24.0,76.0,1.0,,,93532.0,,
Hyles deserticola,Arthropoda,Insecta,Lepidoptera,Sphingidae,LF,,,,,gap,,,
Hyles euphorbiae,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",448.0,1909.0,2.0,,,18296.0,,
Hyles gallii,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",119.0,1313.0,1.0,BEL,,18300.0,269017.0,
Hyles hippophaes,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",35.0,328.0,3.0,,,75698.0,75697.0,
Hyles livornica,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",183.0,2544.0,3.0,,,34100.0,75694.0,18298.0
Hyles nicaea,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",26.0,203.0,1.0,,,75699.0,93537.0,
Hyles sammuti,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,75692.0,,
Hyles tithymali,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",3.0,161.0,0.0,,,75684.0,,
Hyles vespertilio,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",14.0,211.0,1.0,,,75677.0,,
Hyles zygophylli,Arthropoda,Insecta,Lepidoptera,Sphingidae,"FE,LF",19.0,104.0,1.0,,,75690.0,,
Laothoe amurensis,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",58.0,484.0,5.0,,,75660.0,993050.0,
Laothoe caucao,Arthropoda,Insecta,Lepidoptera,Sphingidae,LF,,,,,gap,,,
Laothoe iberica,Arthropoda,Insecta,Lepidoptera,Sphingidae,LF,,,,,gap,,,
Laothoe populi,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",87.0,2988.0,4.0,,,75662.0,776467.0,
Macroglossum stellatarum,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",47.0,2790.0,1.0,,,75919.0,,
Marumba quercus,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",17.0,357.0,1.0,,,92413.0,,
Mimas tiliae,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",67.0,1659.0,2.0,,,75643.0,776509.0,
Polyptychus trisecta,Arthropoda,Insecta,Lepidoptera,Sphingidae,"FE,LF",18.0,108.0,1.0,,,93340.0,,
Proserpinus proserpina,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",18.0,520.0,1.0,,,75907.0,,
Rethera komarovi,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",19.0,192.0,3.0,,,75589.0,776539.0,
Smerinthus caecus,Arthropoda,Insecta,Lepidoptera,Sphingidae,"FE,LF",3.0,230.0,0.0,,,75646.0,,
Smerinthus kindermannii,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",19.0,131.0,3.0,,,75645.0,93524.0,
Smerinthus ocellata,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",48.0,1788.0,6.0,BEL,,75650.0,75651.0,560356.0
Sphingoneopsis gorgoniades,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",7.0,207.0,1.0,BEL,,93367.0,,
Sphinx ligustri,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",76.0,1934.0,1.0,,,75232.0,93432.0,
Sphinx maurorum,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",19.0,179.0,1.0,,,75252.0,,
Sphinx pinastri,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF,iNat",94.0,2316.0,9.0,,,75253.0,197726.0,
Theretra alecto,Arthropoda,Insecta,Lepidoptera,Sphingidae,"BOLD,FE,LF",31.0,645.0,2.0,,,75724.0,,
Theretra boisduvalii,Arthropoda,Insecta,Lepidoptera,Sphingidae,"FE,LF",40.0,267.0,1.0,,,70747.0,,
