species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Epermenia aequidentellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",20.0,23.0,1.0,,,205649.0,
Epermenia chaerophyllella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",42.0,46.0,2.0,,,197845.0,
Epermenia devotella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",4.0,4.0,1.0,,,600977.0,
Epermenia falciformis,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",8.0,11.0,1.0,,,255674.0,
Epermenia farreni,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,508716.0,
Epermenia illigerella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",37.0,42.0,1.0,,,224892.0,
Epermenia infracta,Arthropoda,Insecta,Lepidoptera,Epermeniidae,BOLD,20.0,26.0,2.0,,,187078.0,
Epermenia iniquellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",1.0,1.0,1.0,,,463857.0,
Epermenia insecurella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"FE,LF",,,,,gap,,
Epermenia insecurellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,BOLD,20.0,22.0,2.0,,,730511.0,
Epermenia ochreomaculella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",11.0,12.0,1.0,BEL,,981298.0,730510.0
Epermenia petrusellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",1.0,2.0,1.0,,,807776.0,
Epermenia pontificella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF,iNat",21.0,22.0,3.0,,,224891.0,
Epermenia profugella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",10.0,10.0,1.0,,,286151.0,
Epermenia pumila,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"FE,LF",,,,,gap,459666.0,
Epermenia scurella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",18.0,20.0,1.0,,,255675.0,
Epermenia strictellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",2.0,3.0,0.0,,,1078804.0,
Epermenia theimeri,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"FE,LF",,,,,gap,,
Ochromolopis ictella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",32.0,38.0,1.0,,,255676.0,
Ochromolopis staintonellus,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",6.0,6.0,1.0,,,362516.0,
Ochromolopis zagulajevi,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",13.0,14.0,1.0,,,652604.0,
Phaulernis dentella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF,iNat",11.0,12.0,1.0,,,224890.0,
Phaulernis fulviguttella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF,iNat",19.0,21.0,1.0,,,286449.0,
Phaulernis laserinella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",3.0,3.0,1.0,,,459667.0,
Phaulernis rebeliella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",4.0,4.0,0.0,,,1139434.0,
Phaulernis statariella,Arthropoda,Insecta,Lepidoptera,Epermeniidae,"BOLD,FE,LF",5.0,6.0,1.0,,,463855.0,
