species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Aglais ichnusa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",12.0,14.0,1.0,,,392618.0,,
Aglais io,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",123.0,131.0,1.0,,,264733.0,26841.0,
Aglais urticae,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",312.0,344.0,2.0,,,19820.0,,
Apatura ilia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",71.0,77.0,1.0,,,77236.0,,
Apatura iris,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",54.0,60.0,1.0,,,26865.0,,
Apatura metis,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",24.0,28.0,1.0,,,124143.0,,
Aphantopus hyperantus,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",153.0,163.0,2.0,,,26858.0,,
Araschnia levana,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",81.0,90.0,2.0,,,26844.0,,
Arethusana arethusa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",86.0,92.0,3.0,,,29383.0,126985.0,
Arethusana boabdil,Arthropoda,Insecta,Lepidoptera,Nymphalidae,LF,,,,,gap,,,
Argynnis laodice,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",22.0,24.0,2.0,AH,,83220.0,,
Argynnis pandora,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",84.0,91.0,1.0,AH,,70659.0,,
Argynnis paphia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",179.0,196.0,2.0,,,26864.0,,
Boloria alaskensis,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"FE,LF",63.0,196.0,2.0,,,23195.0,,
Boloria angarensis,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"FE,LF",14.0,16.0,2.0,AH,,141673.0,,
Boloria aquilonaris,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",51.0,61.0,1.0,,,70542.0,,
Boloria chariclea,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",406.0,412.0,2.0,AH,,23190.0,,
Boloria dia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",96.0,104.0,1.0,AH,,141671.0,,
Boloria eunomia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",340.0,351.0,1.0,AH,,19769.0,,
Boloria euphrosyne,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF,iNat",165.0,174.0,4.0,AH,,83223.0,,
Boloria freija,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",109.0,113.0,1.0,AH,,23203.0,,
Boloria frigga,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",69.0,70.0,5.0,AH,,100910.0,,
Boloria graeca,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",12.0,12.0,1.0,,,404714.0,,
Boloria improba,Arthropoda,Insecta,Lepidoptera,Nymphalidae,"BOLD,FE,LF",33.0,56.0,2.0,AH,,100095.0,,
