"me.species","me.records","me.auc","null.auc"
"Cydia oxytropidana.csv",5,0.7245,0.8628
"Cydia strigulatana.csv",27,0.9083,0.687481481481481
"Cydia vallesiaca.csv",23,0.8353,0.712304347826087
"Dahlica siculella.csv",25,0.8641,0.71928
"Dahlica ticinensis.csv",12,0.995,0.78175
"Dahlica triquetrella (bisex. Form).csv",521,0.8597,0.562342610364683
"Dahlica triquetrella (parth. Form).csv",521,0.8599,0.563895393474088
"Dasycera imitatrix.csv",6,0.8214,0.833833333333333
"Dasychira pudibunda.csv",3123,0.8065,0.533768011527378
"Deltote candidula.csv",1223,0.8047,0.548724448078496
"Denisia luctuosella.csv",13,0.8188,0.792076923076923
"Denticuculus pygmina.csv",1250,0.8265,0.5461192
"Diaphora luctuosa.csv",13,0.6733,0.786846153846154
"Diceratura amaranthica.csv",8,0.7445,0.8025625
"Dichomeris limosella.csv",145,0.7804,0.611558620689655
"Dichrorampha distinctana.csv",5,0.9024,0.9168
"Dichrorampha inexpectana.csv",5,0.9142,0.8626
"Dichrorampha letarfensis.csv",5,0.7844,0.8786
"Dolicharthria concoloralis.csv",45,0.8365,0.697844444444444
"Dolicharthria daralis.csv",8,0.7742,0.8185625
"Drepana binaria.csv",1573,0.8382,0.544429752066116
"Dryadaula pactolia.csv",10,0.8969,0.8157
"Eana clercana.csv",7,0.8325,0.816857142857143
"Ectoedemia similigena.csv",105,0.8832,0.629361904761905
"Eidophasia infuscata.csv",435,0.8752,0.569419540229885
"Eidophasia zukowskyi.csv",14,0.8201,0.77
"Elachista bidentata.csv",33,0.808,0.691242424242424
"Elachista buvati.csv",8,0.806,0.79625
"Elachista regificella.csv",35,0.9005,0.697857142857143
"Elachista stelviella.csv",10,0.8399,0.7659
"Elophila feili.csv",8,0.8537,0.8109375
"Emmelina argoteles.csv",11,0.7103,0.789909090909091
"Epermenia farreni.csv",7,0.9824,0.8315
"Epermenia insecurella.csv",17,0.8315,0.748
"Epermenia pumila.csv",48,0.77,0.6740625
"Ephestia disparella.csv",38,0.9196,0.680473684210526
"Epicallima bruandella.csv",13,0.7339,0.778923076923077
"Epicallima icterinella.csv",7,0.9653,0.846285714285714
"Epichnopterix montanella.csv",368,0.8773,0.574361413043478
"Epinotia obraztsovi.csv",15,0.8121,0.764666666666667
"Epischidia fulvostrigella.csv",6,0.908,0.848166666666667
"Epischnia adultella.csv",5,0.9297,0.91
"Episema lederi.csv",9,0.6792,0.793555555555556
"Eriocottis hispanica.csv",7,0.9053,0.825928571428571
"Eriocottis paradoxella.csv",20,0.8778,0.7464
"Eriocrania amentella.csv",844,0.8346,0.551684241706161
"Eteobalea dohrnii.csv",8,0.9087,0.831875
"Ethmia distigmatella.csv",5,0.7807,0.8878
"Euchromius anapiellus.csv",32,0.9042,0.704125
"Euchromius gozmanyi.csv",23,0.9181,0.723826086956522
"Eucosma monstratana.csv",5,0.8965,0.9069
"Eumichtis lichenea.csv",14,0.7837,0.786714285714286
"Euphydryas beckeri.csv",77,0.7801,0.636688311688312
"Eupithecia rosai.csv",6,0.9736,0.83075
"Euplagia quadripunctata.csv",4192,0.7611,0.531409470419847
"Euplocamus ophisa.csv",26,0.8851,0.716576923076923
"Eurhodope cruentella.csv",15,0.8366,0.7462
"Euxoa canariensis.csv",24,0.8729,0.714875
"Euxoa deserta.csv",7,0.6429,0.818
"Euxoa seliginis.csv",9,0.6102,0.816666666666667
"Euzophera lunulella.csv",26,0.8785,0.722923076923077
"Euzopherodes vapidella.csv",11,0.8001,0.808545454545455
"Evergestis dusmeti.csv",14,0.9719,0.763357142857143
"Evergestis marionalis.csv",11,0.8262,0.762818181818182
"Evergestis marocana.csv",80,0.8649,0.6498125
"Garella musculana.csv",8,0.8479,0.79075
"Gelechia sabinellus.csv",322,0.8622,0.570534161490683
"Glacies perlinii.csv",524,0.9108,0.562958969465649
"Glyphipterix minorella.csv",142,0.8273,0.608753521126761
"Glyphipterix umbilici.csv",19,0.9374,0.724789473684211
"Grapholita internana.csv",72,0.9193,0.647986111111111
"Gufria limosa.csv",104,0.8637,0.636269230769231
