"species","num.records"
"Holopogon venustus",9
"Kurzenkoiellus dasypygus",9
"Laphria bomboides",12
"Laphria dizonias",5
"Laphria vulpina",5
"Leptogaster whitei",1
"Machimus (Machimus) caliginosus",10
"Machimus (Machimus) chrysitis",87
"Machimus (Machimus) cyanopus",13
"Machimus (Machimus) fimbriatus",15
"Machimus (Machimus) lacinulatus",13
"Machimus (Machimus) nigrifemoratus",4
"Machimus (Machimus) pilipes",13
"Machimus setiventris",23
"Maira aenea",1
"Neoepitriptus setosulus",50
"Neomochtherus schineri",11
"Pogonosoma maroccanum",146
"Pogonosoma minus",5
"Promachus consanguineus",6
"Promachus gomerae",5
"Promachus latitarsatus",9
"Promachus palmensis",5
"Promachus pictus",1
"Promachus vexator",16
"Satanas gigas",61
"Stenopogon costatus",6
"Stenopogon sabaudus",25
"Tolmerus micans",8
"Tolmerus poecilogaster",7
"Tolmerus strandi",19
"Astiosoma rufifrons",4
"Leiomyza laevigata",14
"Leiomyza scatophagina",66
"Bibio elmoi",8
"Bibio fulvicollis",14
"Bibio hortulanus",395
"Bibio lautaretensis",4
"Dilophus antipedalis",5
"Dilophus beckeri",11
"Dilophus bispinosus",8
"Dilophus borealis",17
"Hapalothrix lugubris",6
"Amictus variegatus",5
"Anastoechus hyrcanus",1
"Anastoechus latifrons",16
"Anastoechus nitidulus",10
"Anthrax aethiops",21
"Anthrax binotatus",5
"Anthrax trifasciatus",79
"Bombomyia discoidea",13
"Bombomyia stictica",19
"Bombylius (Bombylius) ambustus",2
"Bombylius (Bombylius) analis",33
"Bombylius (Bombylius) canescens",236
"Bombylius (Bombylius) trichurus",14
"Bombylius (Zephyrectes) cruciatus",99
"Bombylius fulvescens",7
"Bombylius medius",440
"Bombylius posticus",24
"Canariellum brunnipenne",2
"Chalcochiton pallasii",6
"Conophorus virescens",8
"Cyllenia rustica",6
"Cytherea obscura",8
"Eclimus gracilis",9
"Exhyalanthrax muscarius",7
"Exhyalanthrax simonae",21
"Exoprosopa cleomene",6
"Exoprosopa grandis",5
"Exoprosopa italica",3
"Exoprosopa pandora",13
"Exoprosopa rutilla",3
"Geron (Geron) hesperidum",28
"Hemipenthes velutina",404
"Heteralonia (Homolonia) megerlei",26
"Heteralonia (Zygodipla) aeaca",6
"Ligyra ferrea",8
"Lomatia belzebul",9
"Micomitra iris",7
"Parageron gratus",12
"Parageron incisus",10
"Petrorossia guanchorum",11
"Petrorossia hespera",9
"Phthiria canescens",14
"Phthiria simonyi",20
"Satyramoeba hetrusca",62
"Spogostylum trinotatum",7
"Systoechus gradatus",7
"Thyridanthrax elegans",8
"Thyridanthrax indigenus",6
"Thyridanthrax perspicillaris",12
"Toxophora fasciculata",24
"Triplasius pictus",10
"Usia (Micrusia) versicolor",8
"Usia (Usia) aenea",7
"Villa brunnea",17
"Villa halteralis",13
"Villa ixion",15
"Villa nigriceps",18
"Villa nigrifrons",18
"Villa paniscus",72
"Angioneura cyrtoneurina",8
"Bellardia vespillo",8
"Calliphora (Calliphora) splendens",6
"Eggisops pecchiolii",37
"Pollenia moravica",8
"Pollenia viatica",54
"Protocalliphora peusi",10
"Rhyncomya peusi",7
"Rhyncomya speciosa",7
"Rhyncomya zernyana",5
"Camilla fuscipes",10
"Camilla glabra",23
"Canace actites",6
"Hemeromyia remotinervis",5
"Meoneura anceps",5
"Meoneura glaberrima",9
"Meoneura prima",6
"Meoneura vagans",88
"Acodiplodis inulae",10
"Ametrodiplosis thalictricola",45
"Anthodiplosis rudimentalis",42
"Aprionus acutus",7
"Aprionus complicatus",8
"Aprionus ensiferus",5
"Aprionus laevis",12
"Aprionus piceae",8
"Aprionus separatus",9
"Aprionus svecicus",12
"Arnoldiola libera",4
"Arthrocnodax peregrinus",2
"Asphondylia baudysi",7
"Asphondylia borzi",7
"Asphondylia melanopus",6
"Asphondylia ulicis",10
"Asphondylia verbasci",6
"Asynapta breviata",5
"Asynapta inflata",5
"Bayeriola salicariae",10
"Bayeriola thymicola",10
"Brachyneurina peniophorae",5
"Braueriella phillyreae",10
"Bryocrypta indubitata",3
"Camptomyia pinicola",4
"Contarinia acerplicans",23
"Contarinia anthobia",22
"Contarinia anthophthora",6
"Contarinia campanulae",9
"Contarinia craccae",34
"Contarinia floricola",5
"Contarinia gei",7
"Contarinia ilicis",6
"Contarinia jacobaeae",31
"Contarinia marchali",8
"Contarinia medicaginis",26
"Contarinia nicolayi",12
"Contarinia pilosellae",11
"Contarinia pulchripes",5
"Contarinia pyrivora",9
"Contarinia quercina",3
"Contarinia sambuci",11
"Contarinia scrophulariae",44
"Contarinia tragopogonis",10
"Contarinia tremulae",22
"Contarinia tritici",6
"Contarinia vincetoxici",9
"Corinthomyia brevicornis",3
"Dasineura alopecuri",11
"Dasineura alpestris",4
"Dasineura aparines",29
"Dasineura asparagi",6
"Dasineura auritae",77
"Dasineura broteri",15
"Dasineura cardaminis",20
"Dasineura coronillae",7
"Dasineura engstfeldi",27
"Dasineura epilobii",23
"Dasineura ericaescopariae",11
"Dasineura filipendulae",18
"Dasineura fructum",16
"Dasineura galiicola",18
"Dasineura gleditchiae",43
"Dasineura hygrophila",33
"Dasineura kiefferi",9
"Dasineura kiefferiana",101
"Dasineura lathyri",9
"Dasineura lathyricola",6
"Dasineura loewiana",6
"Dasineura marginemtorquens",49
"Dasineura medicaginis",9
"Dasineura myosotidis",9
"Dasineura napi",7
"Dasineura odoratae",28
"Dasineura oxyacanthae",6
"Dasineura periclymeni",7
"Dasineura phyteumatis",8
"Dasineura pseudococcus",3
"Dasineura pteridicola",32
"Dasineura pteridis",178
"Dasineura pulsatillae",7
"Dasineura ranunculi",36
"Dasineura rubella",5
"Dasineura saxifragae",12
"Dasineura stellariae",5
"Dasineura strumosa",9
"Dasineura symphyti",8
"Dasineura tetensi",7
"Dasineura thomasiana",34
"Dasineura tortilis",38
"Dasineura tortrix",7
"Dasineura tubicoloides",10
"Dasineura tympani",17
"Dasineura ulmicola",11
"Dasineura violae",12
"Diallactia croceus",18
"Diallactia fulvus",18
"Diallactia incomparabilis",18
"Diallactia obscuripes",18
"Diallactia subcroceus",18
"Drisina glutinosa",25
"Dryomyia circinans",40
"Dryomyia lichtensteinii",54
"Excrescentia mutuata",6
"Fabomyia medicaginis",7
"Gephyraulus raphanistri",5
"Harmandiola globuli",158
"Harmandiola populi",5
"Heteropezula tenuis",5
"Holoneurus paneliusi",12
"Hygrodiplosis vaccinii",4
"Jaapiella bryoniae",9
"Jaapiella genistamtorquens",5
"Jaapiella genisticola",10
"Jaapiella hypochoeridis",16
"Jaapiella jaapiana",5
"Jaapiella loticola",10
"Jaapiella thalictri",4
"Jaapiella vacciniorum",7
"Janetia cerris",12
"Janetiella lemeei",14
"Janetiella thymi",4
"Kaltenbachiola strobi",6
"Karshomyia ramosa",1
"Lasioptera artemisiae",12
"Lasioptera eryngii",14
"Lasioptera populnea",21
"Macrodiplosis quercus",87
"Macrolabis incolens",5
"Macrolabis pavida",4
"Macrolabis pilosellae",6
"Macrolabis rhodophila",5
"Massalongia betulifolia",5
"Massalongia ruber",51
"Mayetiola festucae",6
"Mayetiola hellwigi",8
"Mayetiola ventricola",9
"Mikomya coryli",9
"Monardia (Monardia) obsoleta",13
"Monardia (Monardia) stirpium",6
"Monardia (Trichopteromyia) magnifica",11
"Monarthropalpus flavus",31
"Monepidosis furcata",6
"Mycocecis ovalis",6
"Myricomyia mediterranea",6
"Neomikiella lychnidis",14
"Neotetraneuromyia lenticularis",9
"Neurolyga bilobata",9
"Neurolyga truncata",2
"Parepidosis venustior",5
"Peromyia albicornis",6
"Peromyia angellifera",7
"Peromyia apposita",16
"Peromyia muscorum",20
"Peromyia palustris",11
"Peromyia syltefjordensis",9
"Peromyia viklundi",13
"Phegomyia fagicola",10
"Planetella gallarum",11
"Polystepha malpighii",21
"Porricondyla aurantiaca",5
"Porricondyla errabunda",6
"Porricondyla pallescens",10
"Porricondyla pubescens",18
"Porricondyla rufocinerea",5
"Putoniella pruni",30
"Rabdophaga clavifex",6
"Rabdophaga dubiosa",9
"Rabdophaga iteobia",10
"Rabdophaga jaapi",14
"Rabdophaga nervorum",10
"Rabdophaga saliciperda",27
"Rabdophaga santolinae",5
"Rabdophaga strobilina",175
"Resseliella betulicola",14
"Rhopalomyia artemisiae",17
"Rhopalomyia baccarum",25
"Rhopalomyia foliorum",11
"Spurgia esulae",12
"Stefaniola salsolae",4
"Tetraneuromyia similis",6
"Thecodiplosis brachyntera",7
"Tricholaba trifolii",20
"Wachtliella caricis",40
"Wachtliella ericina",29
"Wachtliella stachydis",12
"Winnertzia bulbifera",7
"Winnertzia iridis",14
"Xylopriona toxicodendri",7
"Zeuxidiplosis giardi",9
"Atrichopogon (Atrichopogon) fuscus",14
"Atrichopogon (Atrichopogon) infuscus",6
"Atrichopogon (Rostropogon) rostratus",14
"Bezzia acuta",5
"Bezzia coracina",15
"Bezzia winnertziana",6
"Brachypogon (Isohelea) norvegicus",4
"Brachypogon griseipennis",10
"Ceratopogon (Ceratopogon) communis",5
"Culicoides (Monoculicoides) stigma",12
"Culicoides deltus",10
"Dasyhelea (Dasyhelea) dufouri",4
"Dasyhelea (Dasyhelea) unicolor",7
"Dasyhelea (Dasyhelea) versicolor",5
"Dasyhelea (Pseudoculicoides) flavoscutellata",10
"Dasyhelea (Pseudoculicoides) sericata",5
"Forcipomyia (Euprojoannisia) psilonota",9
"Forcipomyia (Forcipomyia) biannulata",1
"Forcipomyia (Forcipomyia) brevipennis",30
"Forcipomyia (Forcipomyia) squamipes",2
"Forcipomyia apricans",9
"Forcipomyia costata",59
"Forcipomyia microcera",11
"Forcipomyia perrisi",25
"Leptoconops (Holoconops) kerteszi",1
"Mallochohelea inermis",12
"Mallochohelea munda",5
"Neurohelea luteitarsis",16
"Nilobezzia (Nilobezzia) posticata",9
