species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Dyseriocrania subpurpurella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF,iNat",43,55,1,,,343570,205713.0
Eriocrania alpinella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",2,3,1,,,519836,
Eriocrania amentella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,BOLD,0,1,0,,gap,459702,
Eriocrania cicatricella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",38,45,1,,,126649,
Eriocrania salopiella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",6,6,1,,,295256,
Eriocrania sangii,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",129,141,2,,,205698,
Eriocrania semipurpurella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",466,510,4,,,86527,
Eriocrania sparrmannella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",13,17,1,,,224910,
Heringocrania unimaculella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF,iNat",29,35,2,,,344841,224909.0
Paracrania chrysolepidella,Arthropoda,Insecta,Lepidoptera,Eriocraniidae,"BOLD,FE,LF",13,16,2,,,363351,458004.0
