species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Achlya flavicornis,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",43.0,48.0,2.0,,,183381.0,
Asphalia ruficollis,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF",2.0,2.0,1.0,,,369825.0,
Cilix algirica,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,981254.0,
Cilix asiatica,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF",2.0,2.0,1.0,,,368816.0,
Cilix glaucata,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",35.0,38.0,1.0,,,179116.0,
Cilix hispanica,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF",4.0,7.0,0.0,,,981212.0,
Cymatophorina diluta,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",19.0,24.0,1.0,,,197774.0,
Drepana binaria,Arthropoda,Insecta,Lepidoptera,Drepanidae,BOLD,0.0,2.0,0.0,,gap,176061.0,
Drepana cultraria,Arthropoda,Insecta,Lepidoptera,Drepanidae,BOLD,1.0,1.0,0.0,,,288128.0,
Drepana curvatula,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",25.0,25.0,1.0,,,109508.0,
Drepana falcataria,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",47.0,49.0,1.0,,,26226.0,
Falcaria lacertinaria,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",29.0,32.0,1.0,,,152099.0,
Habrosyne pyritoides,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",66.0,71.0,1.0,,,197719.0,
Ochropacha duplaris,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",27.0,31.0,1.0,,,179047.0,
Polyploca corbi,Arthropoda,Insecta,Lepidoptera,Drepanidae,BOLD,4.0,4.0,0.0,,,378666.0,
Polyploca korbi,Arthropoda,Insecta,Lepidoptera,Drepanidae,LF,,,,,gap,,
Polyploca neoridens,Arthropoda,Insecta,Lepidoptera,Drepanidae,BOLD,3.0,3.0,1.0,,,288126.0,
Polyploca ridens,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",15.0,19.0,1.0,,,258170.0,
Sabra harpagula,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",18.0,21.0,3.0,,,109514.0,370788.0
Tethea ocularis,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",51.0,54.0,1.0,,,197786.0,
Tethea or,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",62.0,66.0,5.0,,,183468.0,
Tetheella fluctuosa,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",26.0,27.0,1.0,,,183482.0,
Thyatira batis,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",86.0,94.0,2.0,,,109507.0,
Watsonalla binaria,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",42.0,49.0,1.0,,,197679.0,
Watsonalla cultraria,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF,iNat",49.0,51.0,1.0,,,204420.0,
Watsonalla uncinula,Arthropoda,Insecta,Lepidoptera,Drepanidae,"BOLD,FE,LF",27.0,28.0,1.0,,,266463.0,
