species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Borbo borbonica,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",14,22,2,,,210357,,
Carcharodus alceae,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",186,222,1,,,124145,,
Carcharodus tripolina,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",25,25,1,BEL,,852622,,
Carterocephalus palaemon,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",108,135,1,,,29416,720652.0,
Carterocephalus silvicola,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",30,35,2,BEL,,26259,1022938.0,
Erynnis marloyi,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",15,16,1,,,160483,,
Erynnis tages,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",127,138,2,,,100060,,
Favria cribrellum,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",25,26,1,AH,,150063,,
Gegenes nostrodamus,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",59,67,2,BEL,,162899,158897.0,
Gegenes pumilio,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",86,95,2,,,158898,,
Hesperia comma,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",418,448,2,,,12717,,
Heteropterus morpheus,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",52,58,1,,,124160,,
Muschampia alta,Arthropoda,Insecta,Lepidoptera,Hesperiidae,LF,3,3,1,,,1155603,,
Muschampia baeticus,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",24,26,1,FD,,476080,,
Muschampia floccifera,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF,iNat",73,80,3,FD,,986277,124146.0,
Muschampia lavatherae,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",41,47,2,FD,,986278,94954.0,
Muschampia orientalis,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,FE,LF",33,34,2,,,124148,,
Muschampia proteides,Arthropoda,Insecta,Lepidoptera,Hesperiidae,"BOLD,LF",96,102,4,,,299430,,
