species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Augasma aeratella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",7.0,10.0,1.0,,,150897.0,,
Augasma atraphaxidellum,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,8.0,8.0,1.0,,,150890.0,,
Augasma uljanovi,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,,,,,gap,,,
Coleophora absinthii,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",9.0,10.0,3.0,,,158554.0,,
Coleophora absinthivora,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora acerosa,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",1.0,2.0,0.0,,,340560.0,,
Coleophora achaenivora,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,499608.0,,
Coleophora achilleae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora acrisella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",13.0,15.0,3.0,,,150840.0,,
Coleophora acutiphaga,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,4.0,1.0,,,158558.0,,
Coleophora adalligata,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,,,,,gap,,,
Coleophora adelogrammella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",21.0,22.0,1.0,,,158559.0,,
Coleophora adjectella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",7.0,12.0,0.0,,,354179.0,,
Coleophora adjunctella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",6.0,6.0,1.0,,,158555.0,,
Coleophora adspersella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",16.0,16.0,2.0,,,158556.0,,
Coleophora aegyptiacae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",5.0,6.0,2.0,,,158557.0,,
Coleophora aequalella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",4.0,5.0,0.0,,,158560.0,,
Coleophora aeripennis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,BOLD,0.0,2.0,0.0,,gap,158691.0,,
Coleophora aestuariella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,2.0,1.0,,,363393.0,,
Coleophora aethiops,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora aetnensis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,BOLD,1.0,1.0,1.0,,,150832.0,,
Coleophora afrohispana,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",4.0,4.0,1.0,,,396261.0,,
Coleophora afrosarda,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",3.0,3.0,1.0,,,363392.0,,
Coleophora agenjoi,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,981278.0,,
Coleophora agilis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,1.0,,,150826.0,,
Coleophora agnatella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,0.0,,,678037.0,,
Coleophora agrianella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora ahenella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",18.0,24.0,1.0,,,150898.0,,
Coleophora alacanta,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,LF",4.0,4.0,0.0,,,706567.0,,
Coleophora alashiae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,1.0,0.0,,,941562.0,,
Coleophora albarracinica,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,340572.0,,
Coleophora albella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",25.0,34.0,1.0,,,100327.0,,
Coleophora albicans,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",9.0,16.0,1.0,,,295267.0,158695.0,
Coleophora albicella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,3.0,1.0,,,158561.0,,
Coleophora albicinctella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora albicosta,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",11.0,13.0,1.0,,,158692.0,,
Coleophora albicostella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",28.0,32.0,1.0,,,158563.0,,
Coleophora albidella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",49.0,52.0,1.0,,,183461.0,,
Coleophora albidorsella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,2.0,4.0,0.0,,,485929.0,,
Coleophora albilineella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",10.0,13.0,2.0,LF,,340594.0,316887.0,
Coleophora albipennella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,LF",1.0,2.0,0.0,,,340561.0,,
Coleophora albitarsella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",26.0,31.0,1.0,,,150900.0,,
Coleophora albostraminata,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,158564.0,,
Coleophora albulae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,1.0,,,723006.0,,
Coleophora alcyonipennella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF,iNat",78.0,84.0,1.0,,,94688.0,,
Coleophora aleramica,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",14.0,14.0,1.0,,,340589.0,,
Coleophora alfacarensis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora algeriensis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,3.0,2.0,,,150827.0,,
Coleophora algidella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",6.0,6.0,2.0,,,340585.0,,
Coleophora alhamaella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,1.0,1.0,,,678033.0,,
Coleophora aliena,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",3.0,4.0,0.0,,,729328.0,,
Coleophora almeriensis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,0.0,,,737135.0,,
Coleophora alnifoliae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",54.0,87.0,1.0,,,65499.0,,
Coleophora alticolella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",143.0,152.0,1.0,,,86900.0,,
Coleophora altivagella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",,,,,gap,,,
Coleophora amarchana,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",4.0,5.0,1.0,,,508101.0,,
Coleophora amasiella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,5.0,5.0,1.0,,,110013.0,,
Coleophora amellivora,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",12.0,14.0,2.0,,,286229.0,,
Coleophora amethystinella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",1.0,2.0,0.0,,,678056.0,,
Coleophora anabaseos,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",0.0,1.0,0.0,,gap,150849.0,,
Coleophora anatipenella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE",1.0,3.0,0.0,,,205651.0,,
Coleophora anatipennella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,LF",4.0,4.0,1.0,,,298995.0,,
Coleophora ancistron,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",3.0,5.0,0.0,,,150864.0,,
Coleophora angustiorella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,316888.0,,
Coleophora anitella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,0.0,,,706566.0,,
Coleophora antennariella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",7.0,8.0,1.0,,,150901.0,,
Coleophora apythana,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",1.0,1.0,1.0,,,150866.0,,
Coleophora aragonensis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,LF",2.0,2.0,1.0,,,730688.0,,
Coleophora arctostaphyli,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",9.0,10.0,1.0,,,158565.0,,
Coleophora arefactella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",3.0,4.0,1.0,,,458582.0,,
Coleophora arenbergerella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",2.0,2.0,1.0,,,736366.0,,
Coleophora arenicola,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,,,,,gap,,,
Coleophora areniphila,Arthropoda,Insecta,Lepidoptera,Coleophoridae,LF,,,,,gap,,,
Coleophora argenteonivea,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",6.0,6.0,1.0,,,340620.0,,
Coleophora argentifimbriata,Arthropoda,Insecta,Lepidoptera,Coleophoridae,BOLD,2.0,3.0,0.0,,,480550.0,,
Coleophora argentula,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",84.0,93.0,2.0,,,158566.0,,
Coleophora argyrella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",0.0,1.0,0.0,,gap,158693.0,,
Coleophora arkaimella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",1.0,2.0,0.0,,,739481.0,,
Coleophora armeniae,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",3.0,3.0,0.0,,,499598.0,,
Coleophora artemisicolella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",13.0,19.0,1.0,,,158694.0,,
Coleophora asperginella,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"FE,LF",2.0,2.0,0.0,,,499616.0,,
Coleophora aspromontis,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,LF",2.0,2.0,0.0,,,678031.0,,
Coleophora asteris,Arthropoda,Insecta,Lepidoptera,Coleophoridae,"BOLD,FE,LF",4.0,6.0,1.0,,,158697.0,,
