species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Eteobalea bernhardiella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,BOLD,6.0,7.0,0.0,,,741509.0
Eteobalea dohrnii,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,362486.0
Eteobalea intermediella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",26.0,30.0,1.0,,,30804.0
Eteobalea isabellella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",3.0,3.0,1.0,,,894262.0
Eteobalea serratella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",8.0,12.0,1.0,,,30803.0
Eteobalea siciliae,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",1.0,3.0,1.0,,,388328.0
Eteobalea sumptuosella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",1.0,6.0,0.0,,,463856.0
Eteobalea teucrii,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",1.0,1.0,0.0,,,748765.0
Eteobalea thaumatella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Eteobalea tririvella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",22.0,33.0,1.0,,,388327.0
Euclemensia woodiella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Gibeauxiella bellaqueifontis,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Gibeauxiella reliqua,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Gisilia lerautella,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"FE,LF",,,,,gap,
Gisilia stereodoxa,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,1078806.0
