species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Bembecia abromeiti,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",2.0,3.0,0.0,,,207065.0,,
Bembecia albanensis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",34.0,43.0,2.0,,,207052.0,,
Bembecia astragali,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,LF",26.0,28.0,2.0,,,534569.0,,
Bembecia blanka,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",3.0,5.0,1.0,,,207050.0,,
Bembecia crimeana,Arthropoda,Insecta,Lepidoptera,Sesiidae,LF,,,,,gap,,,
Bembecia daghestanica,Arthropoda,Insecta,Lepidoptera,Sesiidae,LF,,,,,gap,,,
Bembecia fibigeri,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,13.0,1.0,,,207147.0,,
Bembecia flavida,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",5.0,6.0,0.0,,,207105.0,,
Bembecia fokidensis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",5.0,8.0,0.0,,,207114.0,,
Bembecia handiensis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",4.0,8.0,0.0,,,207045.0,,
Bembecia himmighoffeni,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,12.0,1.0,LF,,81628.0,,
Bembecia hymenopteriformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,10.0,1.0,,,82964.0,,
Bembecia iberica,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",22.0,27.0,1.0,,,207110.0,,
Bembecia ichneumoniformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF,iNat",86.0,104.0,2.0,,,79887.0,,
Bembecia lomatiaeformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",5.0,8.0,1.0,,,82312.0,,
Bembecia megillaeformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,11.0,0.0,,,207106.0,,
Bembecia pallasi,Arthropoda,Insecta,Lepidoptera,Sesiidae,LF,,,,,gap,,,
Bembecia pavicevici,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",10.0,13.0,2.0,,,82311.0,207104.0,
Bembecia priesneri,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",4.0,5.0,1.0,,,207149.0,,
Bembecia psoraleae,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",5.0,6.0,1.0,,,81629.0,,
Bembecia puella,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",35.0,36.0,1.0,,,207107.0,,
Bembecia rossica,Arthropoda,Insecta,Lepidoptera,Sesiidae,LF,,,,,gap,,,
Bembecia sanguinolenta,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,11.0,0.0,,,207059.0,,
Bembecia sareptana,Arthropoda,Insecta,Lepidoptera,Sesiidae,"FE,LF",3.0,3.0,0.0,,,385294.0,,
Bembecia scopigera,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",23.0,30.0,0.0,,,207103.0,,
Bembecia sirphiformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",9.0,13.0,1.0,FD,,207108.0,,
Bembecia stiziformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"FE,LF",21.0,22.0,3.0,,,207120.0,,
Bembecia uroceriformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",18.0,25.0,1.0,,,79886.0,,
Bembecia volgensis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"FE,LF",2.0,2.0,0.0,,,469088.0,,
Bembecia vulcanica,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",7.0,8.0,0.0,,,207135.0,,
Chamaesphecia aerifrons,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",31.0,40.0,2.0,,,83293.0,,
Chamaesphecia albiventris,Arthropoda,Insecta,Lepidoptera,Sesiidae,"FE,LF",1.0,4.0,0.0,,,321192.0,,
Chamaesphecia alysoniformis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",6.0,8.0,1.0,,,82680.0,,
Chamaesphecia amygdaloidis,Arthropoda,Insecta,Lepidoptera,Sesiidae,"BOLD,FE,LF",12.0,15.0,1.0,,,79896.0,,
