species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Anthocharis belia,Arthropoda,Insecta,Lepidoptera,Pieridae,BOLD,21,22,4,,,82342,,
Anthocharis cardamines,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",194,228,3,,,31586,124142.0,
Anthocharis damone,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",34,52,2,,,106641,,
Anthocharis euphenoides,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",36,39,1,,,253550,,
Anthocharis gruneri,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",18,24,1,,,549320,,
Aporia crataegi,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",370,400,1,,,82244,73883.0,
Belenois aurota,Arthropoda,Insecta,Lepidoptera,Pieridae,LF,91,108,2,,,55139,,
Catopsilia florella,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",43,47,2,,,55190,,
Colias alfacariensis,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",181,209,2,,,100080,1079004.0,
Colias aurorina,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",36,68,1,,,156135,549322.0,
Colias caucasica,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",18,23,2,,,720647,,
Colias chrysotheme,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",12,16,1,,,100059,73884.0,
Colias croceus,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",357,394,2,,,106924,141425.0,70536.0
Colias erate,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",65,76,1,,,70556,,
Colias hecla,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",49,57,4,,,69799,,
Colias hyale,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",131,173,2,,,70502,,
Colias myrmidone,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF",11,27,2,,,124151,,
Colias palaeno,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",175,189,4,,,12563,784597.0,
Colias phicomone,Arthropoda,Insecta,Lepidoptera,Pieridae,"BOLD,FE,LF,iNat",55,55,1,,,246309,100007.0,
