species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Ptilophora nebrodensis,Arthropoda,Insecta,Lepidoptera,Notodontidae,LF,,,,,gap,,
Ptilophora plumigera,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",39.0,52.0,2.0,,,183153.0,
Ptilophora variabilis,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,LF",2.0,2.0,0.0,,,944255.0,
Pygaera timon,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",3.0,3.0,1.0,,,270713.0,
Rhegmatophila alpina,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",4.0,7.0,0.0,,,510775.0,
Rhegmatophila ricchelloi,Arthropoda,Insecta,Lepidoptera,Notodontidae,"FE,LF",,,,,gap,,
Spatalia argentina,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",21.0,22.0,1.0,,,266509.0,
Stauropus fagi,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",50.0,56.0,1.0,,,197715.0,
Thaumatopoea pityocampa,Arthropoda,Insecta,Lepidoptera,Notodontidae,BOLD,4.0,4.0,1.0,,,109489.0,
Thaumetopoea hellenica,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,LF",12.0,12.0,1.0,,,770845.0,
Thaumetopoea herculeana,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",7.0,9.0,1.0,,,510778.0,
Thaumetopoea mediterranea,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,LF",4.0,4.0,1.0,,,770844.0,
Thaumetopoea pinivora,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",4.0,7.0,1.0,,,168691.0,
Thaumetopoea pityocampa,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",85.0,224.0,3.0,,,168971.0,
Thaumetopoea processionea,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF,iNat",25.0,32.0,2.0,,,318880.0,
Thaumetopoea solitaria,Arthropoda,Insecta,Lepidoptera,Notodontidae,"BOLD,FE,LF",4.0,7.0,2.0,,,168970.0,
Thaumetopoea wilkinsoni,Arthropoda,Insecta,Lepidoptera,Notodontidae,"FE,LF",18.0,98.0,2.0,,,168692.0,
