species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Heterogynis andalusica,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,FE,LF",1.0,3.0,1.0,,,189116.0,
Heterogynis canalensis,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,FE,LF",5.0,13.0,1.0,,,189111.0,
Heterogynis chapmani,Arthropoda,Insecta,Lepidoptera,Heterogynidae,LF,,,,,gap,,
Heterogynis cynetes,Arthropoda,Insecta,Lepidoptera,Heterogynidae,BOLD,2.0,2.0,1.0,,,995866.0,
Heterogynis cynetis,Arthropoda,Insecta,Lepidoptera,Heterogynidae,LF,,,,,gap,,
Heterogynis dubia,Arthropoda,Insecta,Lepidoptera,Heterogynidae,LF,,,,,gap,,
Heterogynis eremita,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"FE,LF",,,,,gap,,
Heterogynis paradoxa,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,FE,LF",1.0,6.0,1.0,,,189112.0,
Heterogynis penella,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,FE,LF",9.0,22.0,5.0,LF,,189110.0,995867.0
Heterogynis pravieli,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"FE,LF",,,,,gap,,
Heterogynis rakosyi,Arthropoda,Insecta,Lepidoptera,Heterogynidae,LF,,,,,gap,,
Heterogynis segurana,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,LF",1.0,1.0,1.0,,,995865.0,
Heterogynis sondereggeri,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,LF",1.0,1.0,1.0,,,995864.0,
Heterogynis valdeblorensis,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,FE,LF",2.0,2.0,1.0,,,768173.0,
Heterogynis yerayi,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,LF",2.0,3.0,0.0,,,768174.0,
Heterogynis zikici,Arthropoda,Insecta,Lepidoptera,Heterogynidae,"BOLD,LF",1.0,1.0,1.0,,,995863.0,
