species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Agriades aquilo,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,LF",18.0,25.0,1.0,,,299554.0,69790.0,
Agriades dardanus,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",19.0,21.0,2.0,,,720646.0,523328.0,
Agriades optilete,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF,iNat",261.0,277.0,2.0,,,560346.0,34496.0,
Agriades orbitulus,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF,iNat",58.0,60.0,3.0,,,523296.0,388666.0,
Agriades pyrenaica,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",13.0,16.0,2.0,,,474792.0,83375.0,195915.0
Agriades zullichi,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",8.0,8.0,1.0,,,253473.0,,
Aricia agestis,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF,iNat",521.0,661.0,4.0,,,28335.0,474793.0,
Aricia anteros,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",27.0,29.0,2.0,,,82783.0,,
Aricia artaxerxes,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF,iNat",257.0,300.0,2.0,,,77230.0,733455.0,
Aricia cramera,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",236.0,330.0,2.0,,,82089.0,,
Aricia montensis,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",79.0,79.0,1.0,,,246397.0,,
Aricia morronensis,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",41.0,45.0,2.0,,,246398.0,,
Aricia nicias,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",51.0,62.0,2.0,,,100067.0,286161.0,
Azanus jesous,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",27.0,27.0,1.0,,,55152.0,,
Azanus ubaldus,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"FE,LF",22.0,23.0,2.0,,,480545.0,,
Cacyreus marshalli,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",75.0,82.0,2.0,,,80689.0,,
Callophrys avis,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF",15.0,25.0,1.0,,,253575.0,,
Callophrys chalybeitincta,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"FE,LF",10.0,16.0,1.0,,,303149.0,,
Callophrys rubi,Arthropoda,Insecta,Lepidoptera,Lycaenidae,"BOLD,FE,LF,iNat",215.0,246.0,1.0,,,70505.0,,
