species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Archon apollinus,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",23,28,2,,,103142,
Iphiclides feisthamelii,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,LF",66,67,2,,,81421,
Iphiclides podalirius,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF,iNat",157,164,1,,,32774,
Papilio alexanor,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",18,110,1,,,33261,
Papilio demoleus,Arthropoda,Insecta,Lepidoptera,Papilionidae,LF,92,127,3,,,27418,
Papilio hospiton,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",30,52,1,,,33263,
Papilio machaon,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF,iNat",416,945,2,,,17567,
Papilio saharae,Arthropoda,Insecta,Lepidoptera,Papilionidae,LF,24,29,1,,,706407,
Parnassius apollo,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF,iNat",399,443,4,,,29382,
Parnassius mnemosyne,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF,iNat",370,408,7,,,70619,
Parnassius sacerdos,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",87,133,5,AH,,103166,17254.0
Zerynthia cassandra,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,LF",72,72,1,,,389147,
Zerynthia caucasica,Arthropoda,Insecta,Lepidoptera,Papilionidae,"FE,LF",7,9,1,,,736604,
Zerynthia cerisy,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",32,44,3,BEL,,890008,32776.0
Zerynthia cretica,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",9,9,2,BEL,,890009,152137.0
Zerynthia polyxena,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",44,61,2,,,149041,504387.0
Zerynthia rumina,Arthropoda,Insecta,Lepidoptera,Papilionidae,"BOLD,FE,LF",54,62,4,,,32775,
