species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13
Acanthopsyche atra,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",15.0,19.0,1.0,,,158449.0,,
Acanthopsyche ecksteini,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,1.0,,,454073.0,,
Acanthopsyche incana,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Acanthopsyche senex,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,FD,gap,,,
Acanthopsyche siederi,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Acanthopsyche zelleri,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",5.0,5.0,1.0,,,112178.0,,
Acentra subvestalis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,457752.0,,
Acentra vestalis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,1.0,,,458226.0,,
Amicta cabrerai,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,1.0,,,187136.0,,
Amicta gara,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",2.0,2.0,1.0,,,981651.0,,
Amicta moneiba,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",2.0,2.0,1.0,,,981652.0,,
Anaproutia obscurella,Arthropoda,Insecta,Lepidoptera,Psychidae,BOLD,1.0,1.0,1.0,,,721899.0,,
Apterona crenulella (bisex. Form),Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Apterona gracilis,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",1.0,2.0,1.0,,,448403.0,,
Apterona helicinella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Apterona helicoidella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",10.0,13.0,1.0,FD,,158472.0,722384.0,
Apterona nylanderi,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Apterona pusilla,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",1.0,2.0,0.0,,,448401.0,,
Apterona stauderi,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Bacotia claustrella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",18.0,22.0,1.0,,,187149.0,,
Bacotia sepium,Arthropoda,Insecta,Lepidoptera,Psychidae,BOLD,0.0,1.0,0.0,,gap,158446.0,,
Bankesia cephalonica,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Bankesia conspurcatella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",7.0,7.0,1.0,,,182176.0,,
Bankesia desplatsella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,0.0,,,728430.0,,
Bankesia douglasii,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Bankesia montanella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,1.0,,,458756.0,,
Bankesia pallida,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Bijugis apistella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Bijugis bombycella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF,iNat",25.0,32.0,2.0,,,187128.0,,
Bijugis pectinella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,1.0,,,158458.0,,
Canephora hirsuta,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",26.0,30.0,1.0,,,182177.0,,
Dahlica achajensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica adriatica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",7.0,9.0,1.0,FD,,454067.0,,
Dahlica albericensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",3.0,3.0,0.0,,,977217.0,,
Dahlica alpicolella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",7.0,8.0,1.0,FD,,344820.0,,
Dahlica appenninica,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica argenterae,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica baleaca,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",2.0,2.0,0.0,,,913878.0,,
Dahlica balzella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",1.0,1.0,0.0,,,977218.0,,
Dahlica banatica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,3.0,0.0,FD,,703940.0,,
Dahlica basilicatae,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",1.0,1.0,1.0,,,721906.0,,
Dahlica casentinensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",1.0,1.0,0.0,,,465078.0,,
Dahlica caspari,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,0.0,,,971981.0,,
Dahlica cembrella,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica charlottae,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",76.0,80.0,1.0,,,158461.0,,
Dahlica clathrella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,1.0,,,751993.0,448406.0,
Dahlica croatica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",22.0,27.0,0.0,,,899449.0,,
Dahlica desertella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,FD,gap,,,
Dahlica dorotheae,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica estrela,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",0.0,1.0,0.0,,gap,806101.0,,
Dahlica exulans,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",6.0,7.0,0.0,,,458749.0,,
Dahlica fennicella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",35.0,36.0,1.0,,,286529.0,,
Dahlica generosensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",10.0,11.0,0.0,,,262036.0,,
Dahlica goltella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",4.0,4.0,1.0,,,645602.0,,
Dahlica goppensteinensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,3.0,0.0,,,262035.0,,
Dahlica gorskikotarica,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica grisea,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica herrmanni,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,4.0,1.0,,,560348.0,,
Dahlica ilonae,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",7.0,7.0,1.0,,,737066.0,,
Dahlica inconspicuella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",5.0,6.0,1.0,,,158438.0,,
Dahlica juliella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",14.0,17.0,5.0,FD,,344822.0,348371.0,
Dahlica karadagica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",0.0,3.0,0.0,,gap,458747.0,,
Dahlica karatyshica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,0.0,,,458748.0,,
Dahlica kathrinella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,0.0,,,806102.0,890303.0,
Dahlica klimeschi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",7.0,9.0,1.0,,,187179.0,,
Dahlica larella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica latisquama,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",18.0,18.0,1.0,,,721902.0,,
Dahlica lazuri,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",46.0,57.0,2.0,,,271532.0,158460.0,
Dahlica leoi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,0.0,,,458746.0,,
Dahlica lichenella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",592.0,614.0,1.0,,,158444.0,,
Dahlica lichenella parth.,Arthropoda,Insecta,Lepidoptera,Psychidae,BOLD,8.0,8.0,0.0,,,703944.0,,
Dahlica listerella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",55.0,57.0,2.0,,,981021.0,158464.0,
Dahlica mannii,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",5.0,7.0,0.0,,,751992.0,,
Dahlica marmorella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,0.0,,,762157.0,,
Dahlica meierella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",19.0,20.0,0.0,FD,,454066.0,,
Dahlica michaela,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica nanosella,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica navacerradensis,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica nickerlii,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",14.0,14.0,1.0,,,279433.0,,
Dahlica pangeoensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",0.0,2.0,0.0,,gap,721904.0,,
Dahlica pinkeri,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,1.0,1.0,,,703941.0,,
Dahlica pseudoachajensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica rakosyi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,751994.0,,
Dahlica rebeli,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,899450.0,,
Dahlica reliqua,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,2.0,1.0,,,472822.0,,
Dahlica rianella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica rupicolella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",38.0,39.0,3.0,FD,,981020.0,523880.0,
Dahlica sauteri,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",12.0,30.0,1.0,,,158462.0,,
Dahlica seileri,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica siculella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica siederi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,2.0,1.0,FD,,502515.0,,
Dahlica simplonica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,3.0,0.0,,gap,457749.0,,
Dahlica styriaca,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",22.0,26.0,2.0,FD,,344819.0,,
Dahlica talagovensis,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica thessaliensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,2.0,0.0,,gap,751996.0,,
Dahlica thomanni,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,2.0,1.0,FD,,458750.0,,
Dahlica ticinensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,3.0,0.0,,gap,457750.0,,
Dahlica transsilvanica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",3.0,3.0,0.0,,,560349.0,,
Dahlica triglavensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",3.0,3.0,1.0,FD,,454068.0,,
Dahlica triquetrella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,iNat",105.0,116.0,5.0,,,20754.0,,
Dahlica triquetrella (bisex. Form),Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica triquetrella (parth. Form),Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica vaudella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dahlica wagneri,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,2.0,0.0,,,751998.0,,
Dahlica wehrlii,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,2.0,0.0,,,285580.0,,
Dahlica weidlichi,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Dahlica wockei,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE",4.0,12.0,0.0,,,397440.0,,
Dahlica wockii,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",14.0,21.0,3.0,,,258165.0,,
Dahlica zagoriensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",1.0,1.0,0.0,,,751997.0,,
Diplodoma adspersella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",5.0,6.0,0.0,,,560511.0,,
Diplodoma laichartingella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF,iNat",21.0,26.0,4.0,,,286129.0,,
Diplodoma taurica,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Dissoctena albidella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",1.0,2.0,1.0,,,458219.0,,
Dissoctena granigerella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,3.0,1.0,,,448410.0,,
Eochorica balcanica,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",4.0,4.0,0.0,,,560352.0,,
Eochorica vardarica,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Eosolenobia manni,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE",0.0,1.0,0.0,BEL,gap,1056969.0,,
Eotaleporia lusitaniella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",0.0,1.0,0.0,,gap,458752.0,,
Epichnopterix abruzzensis,Arthropoda,Insecta,Lepidoptera,Psychidae,BOLD,2.0,2.0,0.0,,,660457.0,,
Epichnopterix alpina,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",27.0,31.0,2.0,,,187176.0,,
Epichnopterix ardua,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,4.0,0.0,,,279432.0,,
Epichnopterix crimaeana,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",2.0,2.0,0.0,,,279430.0,,
Epichnopterix focegiovensis,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",6.0,6.0,0.0,,,957078.0,,
Epichnopterix hellenidensis,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Epichnopterix heringi,Arthropoda,Insecta,Lepidoptera,Psychidae,FE,,,,,gap,,,
Epichnopterix heringii,Arthropoda,Insecta,Lepidoptera,Psychidae,LF,,,,,gap,,,
Epichnopterix kovacsi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",8.0,15.0,1.0,,,187177.0,,
Epichnopterix montana,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",14.0,16.0,2.0,,,279431.0,,
Epichnopterix montanella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
Epichnopterix plumella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF,iNat",39.0,52.0,2.0,,,279427.0,,
Epichnopterix pontbrillantella,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE,LF",3.0,8.0,0.0,,,279428.0,,
Epichnopterix sieboldi,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,FE",6.0,7.0,2.0,,,457753.0,,
Epichnopterix sieboldii,Arthropoda,Insecta,Lepidoptera,Psychidae,"BOLD,LF",7.0,12.0,1.0,,,258164.0,,
Eumasia brunella,Arthropoda,Insecta,Lepidoptera,Psychidae,"FE,LF",,,,,gap,,,
