species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12,Unnamed: 13,Unnamed: 14
Abraxas grossulariata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",40.0,47.0,6.0,,,123771.0,,,
Abraxas pantaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,9.0,1.0,,,195508.0,,,
Abraxas sylvata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",38.0,49.0,3.0,,,110171.0,274675.0,,
Acanthovalva inconspicuaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",43.0,53.0,2.0,,,92113.0,,,
Acasis appensata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",24.0,28.0,2.0,,,224482.0,455053.0,,
Acasis viretata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",37.0,40.0,2.0,,,177435.0,,,
Adactylotis contaminaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",11.0,14.0,1.0,,,141362.0,,,
Adactylotis gesticularia,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",10.0,12.0,1.0,,,151045.0,647277.0,,
Adalbertia castiliaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",4.0,4.0,1.0,,,195507.0,,,
Aethalura punctulata,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",36.0,38.0,1.0,,,110105.0,,,
Afriberina salemae,Arthropoda,Insecta,Lepidoptera,Geometridae,LF,,,,,gap,,,,
Afriberina tenietaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",7.0,8.0,1.0,,,155604.0,,,
Afriberina terraria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF",12.0,14.0,1.0,,,398659.0,,,
Agriopis aurantiaria,Arthropoda,Insecta,Lepidoptera,Geometridae,"BOLD,FE,LF,iNat",106.0,139.0,1.0,,,98702.0,195486.0,,
