species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Bucculatrix absinthii,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",4.0,7.0,0.0,,,351581.0
Bucculatrix ainsliella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,LF",96.0,102.0,1.0,,,17808.0
Bucculatrix alaternella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",3.0,4.0,0.0,,,351552.0
Bucculatrix albedinella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",8.0,14.0,1.0,,,344463.0
Bucculatrix albella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",4.0,6.0,0.0,,,351555.0
Bucculatrix albiguttella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",1.0,3.0,0.0,,,351572.0
Bucculatrix alpina,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",5.0,6.0,0.0,LF,,351573.0
Bucculatrix andalusica,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",,,,,gap,
Bucculatrix anthemidella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",,,,,gap,
Bucculatrix argentisignella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",12.0,17.0,2.0,,,286354.0
Bucculatrix armeniaca,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",,,,,gap,
Bucculatrix artemisiella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",14.0,19.0,1.0,,,261740.0
Bucculatrix atagina,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",3.0,3.0,1.0,,,351564.0
Bucculatrix basifuscella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,BOLD,11.0,14.0,1.0,,,515571.0
Bucculatrix bechsteinella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",53.0,63.0,1.0,,,197988.0
Bucculatrix benacicolella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",7.0,8.0,1.0,,,351567.0
Bucculatrix bicolorella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",,,,,gap,
Bucculatrix brunnella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,LF,,,,,gap,
Bucculatrix canariensis,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",2.0,6.0,0.0,,,351580.0
Bucculatrix cantabricella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",5.0,6.0,1.0,,,351557.0
Bucculatrix caspica,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",4.0,6.0,0.0,,,741521.0
Bucculatrix chrysanthemella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",5.0,7.0,1.0,,,345478.0
Bucculatrix cidarella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF,iNat",36.0,46.0,2.0,,,258153.0
Bucculatrix clavenae,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",11.0,11.0,1.0,,,351568.0
Bucculatrix crataegi,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,BOLD,2.0,4.0,0.0,,,746884.0
Bucculatrix cretica,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"FE,LF",,,,,gap,
Bucculatrix cristatella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",36.0,44.0,3.0,LF,,197835.0
Bucculatrix demaryella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",53.0,60.0,1.0,,,183425.0
Bucculatrix diffusella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",4.0,5.0,0.0,,,351551.0
Bucculatrix fatigatella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF",7.0,10.0,1.0,,,351571.0
Bucculatrix frangutella,Arthropoda,Insecta,Lepidoptera,Bucculatricidae,"BOLD,FE,LF,iNat",42.0,48.0,1.0,,,198054.0
