species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Basilia (Basilia) nana,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",7.0,7.0,1.0,,,983736.0
Crataerina (Crataerina) obtusipennis,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Crataerina (Stenepteryx) hirundinis,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,iNat,SyDip",3.0,3.0,1.0,SyDip,,736355.0
Crataerina acutipennis,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Crataerina melbae,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Crataerina pallida,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,iNat,SyDip",7.0,8.0,1.0,,,103872.0
Hippobosca equina,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,iNat,SyDip",17.0,17.0,1.0,,,103856.0
Hippobosca longipennis,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,958825.0
Hippobosca variegata,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",1.0,1.0,0.0,,,995953.0
Icosta ardeae,Arthropoda,Insecta,Diptera,Hippoboscidae,FE,,,,,gap,
Icosta massonati,Arthropoda,Insecta,Diptera,Hippoboscidae,FE,,,,,gap,
Icosta minor,Arthropoda,Insecta,Diptera,Hippoboscidae,FE,,,,,gap,
Lipoptena arianae,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Lipoptena capreoli,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Lipoptena cervi,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,iNat,SyDip",118.0,140.0,1.0,,,103861.0
Lipoptena couturieri,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Lipoptena fortisetosa,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",14.0,19.0,1.0,,,918531.0
Megistopoda aranea,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,SyDip",60.0,66.0,2.0,,,103840.0
Melophagus ovinus,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",10.0,23.0,1.0,,,103854.0
Melophagus rupicaprinus,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Nycteribia (Nycteribia) kolenatii,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",32.0,32.0,3.0,SyDip,,969362.0
Nycteribia (Nycteribia) schmidlii,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",47.0,47.0,3.0,,,652599.0
Olfersia fumipennis,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1067939.0
Olfersia spinifera,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Ornithoica turdi,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",1.0,6.0,1.0,,,922027.0
Ornithomya avicularia,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",96.0,124.0,1.0,,,103850.0
Ornithomya bequaerti,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,SyDip",6.0,6.0,1.0,,,1023163.0
Ornithomya biloba,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",2.0,5.0,1.0,,,103849.0
Ornithomya chloropus,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",18.0,35.0,2.0,,,103848.0
Ornithomya fringillina,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",12.0,35.0,2.0,,,103847.0
Ornithomya rupes,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Ornithophila gestroi,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",3.0,3.0,1.0,,,716211.0
Ornithophila metallica,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",2.0,3.0,2.0,,,955771.0
Penicillidia conspicua,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",31.0,31.0,1.0,,,983738.0
Penicillidia dufourii,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",6.0,6.0,1.0,,,983739.0
Penicillidia monoceros,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",7.0,7.0,2.0,,,499379.0
Phthiridium biarticulatum,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,FE,SyDip",18.0,18.0,1.0,,,983737.0
Pseudolynchia canariensis,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",2.0,2.0,1.0,,,1125471.0
Pseudolynchia garzettae,Arthropoda,Insecta,Diptera,Hippoboscidae,"FE,SyDip",,,,,gap,
Trichobius frequens,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,SyDip",2.0,3.0,1.0,,,887481.0
Trichobius intermedius,Arthropoda,Insecta,Diptera,Hippoboscidae,"BOLD,SyDip",2.0,3.0,1.0,,,887482.0
