species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Bolitophila (Bolitophila) austriaca,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",24.0,24.0,1.0,SyDip,,394325.0,
Bolitophila (Bolitophila) basicornis,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",6.0,7.0,1.0,SyDip,,540904.0,
Bolitophila (Bolitophila) caspersi,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",7.0,7.0,1.0,,,760216.0,
Bolitophila (Bolitophila) collarti,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,SyDip,gap,,
Bolitophila (Bolitophila) cooremani,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,SyDip,gap,,
Bolitophila (Bolitophila) dupla,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,SyDip",4.0,5.0,1.0,,,784015.0,
Bolitophila (Bolitophila) lengersdorfi,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,SyDip,gap,,
Bolitophila (Bolitophila) leruthi,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,SyDip,gap,,
Bolitophila (Bolitophila) miki,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,SyDip,gap,,
Bolitophila (Bolitophila) saundersii,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",24.0,24.0,2.0,SyDip,,760219.0,
Bolitophila (Bolitophila) sibirica,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,SyDip",4.0,6.0,1.0,,,914118.0,
Bolitophila (Bolitophila) spinigera,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",7.0,7.0,1.0,,,760212.0,
Bolitophila (Bolitophila) tenella,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",3.0,5.0,1.0,,,540905.0,
Bolitophila (Cliopisa) acuta,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,SyDip",17.0,17.0,2.0,,,718098.0,
Bolitophila (Cliopisa) aperta,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",8.0,8.0,1.0,,,453380.0,
Bolitophila (Cliopisa) bimaculata,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",35.0,36.0,4.0,SyDip,,730245.0,540906.0
Bolitophila (Cliopisa) bispinosa,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,,gap,,
Bolitophila (Cliopisa) doerrsteini,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,,gap,,
Bolitophila (Cliopisa) dubia,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",13.0,13.0,2.0,SyDip,,671702.0,
Bolitophila (Cliopisa) edwardsiana,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",5.0,5.0,1.0,,,760213.0,
Bolitophila (Cliopisa) fumida,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,752712.0,
Bolitophila (Cliopisa) glabrata,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",20.0,21.0,1.0,,,801769.0,
Bolitophila (Cliopisa) glabratella,Arthropoda,Insecta,Diptera,Bolitophilidae,"FE,SyDip",,,,,gap,,
Bolitophila (Cliopisa) hybrida,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",15.0,18.0,1.0,SyDip,,545148.0,
Bolitophila (Cliopisa) ingrica,Arthropoda,Insecta,Diptera,Bolitophilidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,954691.0,
