species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Calobata petronella,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,SyDip",336.0,337.0,2.0,,,406651.0
Cnodacophora sellata,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,914335.0
Cnodacophora stylifera,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,1141563.0
Micropeza angustipennis,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Micropeza brevipennis,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1141596.0
Micropeza cingulata,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Micropeza corrigiolata,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",38.0,39.0,1.0,,,468344.0
Micropeza grallatrix,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Micropeza hispanica,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Micropeza kawalii,Arthropoda,Insecta,Diptera,Micropezidae,FE,,,,,gap,
Micropeza lateralis,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",9.0,9.0,1.0,,,913998.0
Neria cibaria,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",72.0,72.0,1.0,,,406648.0
Neria commutata,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE",18.0,19.0,1.0,,,406649.0
Neria dentigera,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Neria ephippium,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE",17.0,18.0,1.0,,,483320.0
Neria femoralis,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,SyDip",6.0,6.0,0.0,,,968937.0
Neria longiceps,Arthropoda,Insecta,Diptera,Micropezidae,"FE,SyDip",,,,,gap,
Neria nigricornis,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",1.0,2.0,0.0,,,483691.0
Neria octoannulata,Arthropoda,Insecta,Diptera,Micropezidae,FE,,,,,gap,
Rainieria calceata,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",2.0,3.0,0.0,,,1141481.0
Rainieria latifrons,Arthropoda,Insecta,Diptera,Micropezidae,"BOLD,FE,iNat,SyDip",2.0,2.0,1.0,,,978805.0
