species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Eurygnathomyia bicolor,Arthropoda,Insecta,Diptera,Pallopteridae,FE,1.0,1.0,1.0,,,921997.0
Morgea freidbergi,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Palloptera ambusta,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,iNat,SyDip",1.0,2.0,1.0,,,918912.0
Palloptera anderssoni,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE,SyDip",3.0,3.0,0.0,,,1067968.0
Palloptera bimaculata,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Palloptera flava,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Palloptera formosa,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,1061547.0
Palloptera maculifemur,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Palloptera marginata,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Palloptera scutellata,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE,SyDip",11.0,11.0,1.0,,,285163.0
Palloptera umbellatarum,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE,iNat,SyDip",35.0,39.0,1.0,,,453960.0
Palloptera ustulata,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE,iNat,SyDip",19.0,19.0,2.0,,,453924.0
Palloptera ustulata_Gruppe,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,2.0,3.0,1.0,,,704355.0
Temnosira ambusta,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Temnosira saltuum,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,FE",43.0,51.0,1.0,,,704354.0
Toxoneura basimaculata,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Toxoneura ephippium,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Toxoneura laetabilis,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Toxoneura modesta,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Toxoneura muliebris,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Toxoneura pallens,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Toxoneura quinquemaculata,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Toxoneura trimacula,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Toxoneura usta,Arthropoda,Insecta,Diptera,Pallopteridae,FE,,,,,gap,
Toxoneura venusta,Arthropoda,Insecta,Diptera,Pallopteridae,"FE,SyDip",,,,,gap,
Toxonevra laetabilis,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,2.0,2.0,1.0,,,1081526.0
Toxonevra modesta,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,11.0,18.0,2.0,,,1081527.0
Toxonevra muliebris,Arthropoda,Insecta,Diptera,Pallopteridae,"BOLD,iNat,SyDip",12.0,13.0,1.0,,,1081528.0
Toxonevra quinquemaculata,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,15.0,15.0,1.0,,,1081529.0
Toxonevra trimacula,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,15.0,17.0,1.0,,,1081530.0
Toxonevra usta,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,9.0,11.0,1.0,,,1081531.0
Toxonevra venusta,Arthropoda,Insecta,Diptera,Pallopteridae,BOLD,3.0,3.0,1.0,,,1081532.0
