species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Caenoneura nigra,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus (Paromphrale) glabrifrons,Arthropoda,Insecta,Diptera,Scenopinidae,"BOLD,FE,SyDip",1.0,2.0,0.0,SyDip,,1127432.0
Scenopinus (Scenopinus) fenestralis,Arthropoda,Insecta,Diptera,Scenopinidae,"BOLD,FE,iNat,SyDip",8.0,12.0,1.0,SyDip,,407123.0
Scenopinus albicinctus,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus bulbapennis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus canarius,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus efflatouni,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus gobiensis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus griseus,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus halteralis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus lesinensis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus niger,Arthropoda,Insecta,Diptera,Scenopinidae,"BOLD,FE,SyDip",6.0,8.0,2.0,SyDip,,402890.0
Scenopinus retuertensis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus unifasciatus,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus verrucosus,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
Scenopinus vitripennis,Arthropoda,Insecta,Diptera,Scenopinidae,"FE,SyDip",,,,,gap,
