species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Chaetolonchaea brevipilosa,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Chaetolonchaea dasyops,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",3.0,5.0,1.0,,,718257.0
Chaetolonchaea pallipennis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",7.0,8.0,2.0,,,483512.0
Dasiops appendiculus,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,718258.0
Dasiops calvus,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",3.0,3.0,1.0,,,721615.0
Dasiops ensifer,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops facialis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops hennigi,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops laticeps,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE",2.0,2.0,2.0,,,718259.0
Dasiops latifrons,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops latiterebra,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops mucronatus,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,3.0,0.0,,,483522.0
Dasiops occultus,Arthropoda,Insecta,Diptera,Lonchaeidae,FE,,,,,gap,
Dasiops perpropinquus,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",4.0,4.0,0.0,,,967397.0
Dasiops solivagus,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Dasiops spatiosus,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",4.0,4.0,2.0,,,718260.0
Dasiops trichosternalis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia adriatica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia albifacies,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia bazini,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia caudicula,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia crystallophila,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia grusia,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia impossibile,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia inquilina,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia lonchaeoides,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",10.0,14.0,1.0,,,483264.0
Earomyia schistopyga,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia tomskensis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Earomyia viridana,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",37.0,39.0,1.0,,,589088.0
Earomyia virilis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lamprolonchaea smaragdi,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",18.0,19.0,1.0,,,914026.0
Lonchaea affinis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",5.0,6.0,1.0,,,483540.0
Lonchaea albigena,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea albitarsis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,467454.0
Lonchaea britteni,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea bruggeri,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea bukowskii,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",4.0,4.0,1.0,,,510640.0
Lonchaea caledonica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea carpathica,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,967398.0
Lonchaea caucasica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea chorea,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",41.0,41.0,1.0,,,469869.0
Lonchaea claripennis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea collini,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,483404.0
Lonchaea contigua,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,968938.0
Lonchaea contraria,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea corusca,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,495154.0
Lonchaea defecta,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,469886.0
Lonchaea deutschi,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",7.0,8.0,2.0,,,483690.0
Lonchaea difficilis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea fraxina,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",8.0,8.0,1.0,,,469831.0
Lonchaea freyi,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea fugax,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",15.0,15.0,1.0,,,483476.0
Lonchaea gorodkovi,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea hackmani,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,3.0,1.0,,,718261.0
Lonchaea helvetica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea hirticeps,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea hyalipennis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,968939.0
Lonchaea iberica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea iona,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",19.0,19.0,0.0,,,1140928.0
Lonchaea ipsiphaga,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea kapperti,Arthropoda,Insecta,Diptera,Lonchaeidae,BOLD,4.0,4.0,0.0,,,1140929.0
Lonchaea krivosheinae,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,1141549.0
Lonchaea lateralis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,SyDip",4.0,4.0,0.0,,,1140927.0
Lonchaea laticornis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea laxa,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea limatula,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1067963.0
Lonchaea mallochi,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea nitens,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",10.0,11.0,2.0,,,469897.0
Lonchaea nitidissima,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea obscuritarsis,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",6.0,7.0,2.0,,,718262.0
Lonchaea palpata,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea palposa,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,iNat,SyDip",3.0,6.0,0.0,,,596602.0
Lonchaea patens,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",6.0,6.0,2.0,,,483548.0
Lonchaea peregrina,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",3.0,3.0,0.0,,,1141550.0
Lonchaea postica,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",5.0,7.0,1.0,,,786648.0
Lonchaea ragnari,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",26.0,26.0,1.0,,,718263.0
Lonchaea rossica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea scutellaris,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",10.0,10.0,0.0,,,1067964.0
Lonchaea seitneri,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea serrata,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea sororcula,Arthropoda,Insecta,Diptera,Lonchaeidae,FE,,,,,gap,
Lonchaea stackelbergi,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea stigmatica,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea subneatosa,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea sylvatica,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",15.0,16.0,2.0,,,589079.0
Lonchaea tarsata,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",9.0,9.0,1.0,,,510644.0
Lonchaea tenuicornis,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea ultima,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",4.0,5.0,0.0,,,718256.0
Lonchaea vagans,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea xylophila,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Lonchaea zetterstedti,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,510643.0
Protearomyia bausenbergi,Arthropoda,Insecta,Diptera,Lonchaeidae,BOLD,2.0,2.0,0.0,,,1140933.0
Protearomyia greciana,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",3.0,3.0,0.0,,,1140926.0
Protearomyia nigra,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,FE,SyDip",25.0,27.0,1.0,,,495192.0
Protearomyia rameli,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,SyDip",5.0,5.0,0.0,,,1140932.0
Protearomyia withersi,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,SyDip",66.0,68.0,1.0,,,718255.0
Setisquamalonchaea fumosa,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Setisquamalonchaea retalionis,Arthropoda,Insecta,Diptera,Lonchaeidae,FE,,,,,gap,
Silba adipata,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",21.0,26.0,1.0,,,900946.0
Silba fumosa,Arthropoda,Insecta,Diptera,Lonchaeidae,"BOLD,iNat,SyDip",46.0,46.0,1.0,,,908888.0
Silba virescens,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
Silvestrodasiops noctuinus,Arthropoda,Insecta,Diptera,Lonchaeidae,"FE,SyDip",,,,,gap,
