species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Abrachyglossum capitatum,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,676246.0,
Brachyceraea brevicornis,Arthropoda,Insecta,Diptera,Conopidae,FE,,,,,gap,,
Conops (Conops) ceriaeformis,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops (Conops) elegans,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",0.0,1.0,0.0,,gap,271404.0,
Conops (Conops) flavicauda,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,SyDip",2.0,2.0,0.0,,,908954.0,
Conops (Conops) flavifrons,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops (Conops) insignis,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops (Conops) quadrifasciatus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",52.0,53.0,1.0,,,271408.0,
Conops (Conops) rufiventris,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops (Conops) scutellatus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",19.0,20.0,1.0,,,271409.0,
Conops (Conops) silaceus,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops (Conops) strigatus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",6.0,8.0,1.0,,,483334.0,
Conops (Conops) vitellinus,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Conops flavicaudus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE",2.0,2.0,0.0,,,271474.0,
Conops flavipes,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",11.0,13.0,1.0,,,271457.0,
Conops maculatus,Arthropoda,Insecta,Diptera,Conopidae,FE,,,,,gap,,
Conops vesicularis,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",17.0,18.0,1.0,,,271487.0,
Conops weinbergae,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Dalmannia aculeata,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",1.0,2.0,0.0,,,271353.0,
Dalmannia dorsalis,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Dalmannia marginata,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",0.0,1.0,0.0,,gap,271350.0,
Dalmannia punctata,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",1.0,2.0,0.0,,,271354.0,
Leopoldius brevirostris,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1141561.0,
Leopoldius calceatus,Arthropoda,Insecta,Diptera,Conopidae,"FE,iNat,SyDip",,,,,gap,,
Leopoldius coronatus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",9.0,10.0,2.0,,,271390.0,
Leopoldius diadematus,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Leopoldius punctatus,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Leopoldius signatus,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",2.0,2.0,1.0,,,1057168.0,
Leopoldius valvatus,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Melanosoma bicolor,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",1.0,2.0,0.0,,,271356.0,
Melanosoma mundum,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Melanosoma nigritarse,Arthropoda,Insecta,Diptera,Conopidae,FE,,,,,gap,,
Merziella longirostris,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Myopa buccata,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,iNat,SyDip",18.0,25.0,2.0,,,271359.0,
Myopa dorsalis,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",0.0,1.0,0.0,,gap,271491.0,
Myopa extricata,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",3.0,6.0,0.0,,,271433.0,676883.0
Myopa fasciata,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",4.0,6.0,1.0,,,676849.0,
Myopa hirsuta,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,SyDip",8.0,8.0,2.0,,,483285.0,
Myopa mixta,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Myopa morio,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Myopa occulta,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",4.0,5.0,0.0,,,271465.0,
Myopa palliceps,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,SyDip,gap,,
Myopa picta,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",0.0,2.0,0.0,,gap,271490.0,
Myopa polystigma,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",1.0,3.0,0.0,,,271434.0,
Myopa stigma,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",0.0,1.0,0.0,,gap,271358.0,
Myopa tessellatipennis,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",15.0,24.0,2.0,,,483251.0,
Myopa testacea,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",24.0,31.0,2.0,,,271436.0,
Myopa variegata,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Myopa vicaria,Arthropoda,Insecta,Diptera,Conopidae,"BOLD,FE,SyDip",8.0,33.0,1.0,,,271362.0,
Myopotta pallipes,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Myopotta rubripes,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
Physocephala antiqua,Arthropoda,Insecta,Diptera,Conopidae,"FE,SyDip",,,,,gap,,
