species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Trixoscelis approximata,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis baliogastra,Arthropoda,Insecta,Diptera,Trixoscelididae,FE,,,,,gap,
Trixoscelis canescens,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",260.0,270.0,1.0,,,598857.0
Trixoscelis coei,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis curvata,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis flagellata,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis franzi,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis gentilis,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis lyneborgi,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis margo,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis mendezabali,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis paraproxima,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis pedestris,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis proxima,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis psammophila,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis puncticornis,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis sabinaevae,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis sabulicola,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis sanctiferdinandi,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis serpens,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis sexlineata,Arthropoda,Insecta,Diptera,Trixoscelididae,"FE,SyDip",,,,,gap,
Trixoscelis yugoslavensis,Arthropoda,Insecta,Diptera,Trixoscelididae,FE,,,,,gap,
