species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Apistomyia aphrodite,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Apistomyia ariadne,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Apistomyia elegans,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Blepharicera cinerascens,Arthropoda,Insecta,Diptera,Blephariceridae,"BOLD,FE,SyDip",389.0,393.0,7.0,SyDip,,374050.0,997081.0
Blepharicera fasciata,Arthropoda,Insecta,Diptera,Blephariceridae,"BOLD,FE,SyDip",5.0,5.0,1.0,,,974407.0,
Dioptopsis djordjevici,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Dioptopsis sardous,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Dioptopsis vernus,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Hapalothrix lugubris,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura angelieri,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura bezzii,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura bilobata,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",1.0,1.0,0.0,,,1159172.0,
Liponeura bischoffi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura brevirostris,Arthropoda,Insecta,Diptera,Blephariceridae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,853804.0,
Liponeura buresi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura cordata,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",2.0,2.0,1.0,,,788616.0,
Liponeura cortensis,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura cretica,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura cypria,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura decampsi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura deceptiva,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura deceptrix,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura decipiens,Arthropoda,Insecta,Diptera,Blephariceridae,"BOLD,FE,SyDip",1.0,1.0,1.0,,,853805.0,
Liponeura discophora,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura edwardsi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura edwardsiana,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura gelaiana,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura hispanica,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura isabellae,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura itala,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura komareki,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura limomi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura malickyi,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura matris,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura nevadensis,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura paradecipiens,Arthropoda,Insecta,Diptera,Blephariceridae,"FE,SyDip",,,,,gap,,
Liponeura vimmeri,Arthropoda,Insecta,Diptera,Blephariceridae,FE,,,,,gap,,
