species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Amygdalops thomasseti,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",3.0,4.0,1.0,,,715186.0
Anagnota bicolor,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",3.0,4.0,1.0,,,715188.0
Anagnota coccinea,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Anagnota major,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Anthomyza anderssoni,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",2.0,4.0,1.0,,,715224.0
Anthomyza baezi,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",1.0,2.0,1.0,,,715225.0
Anthomyza collini,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",7.0,11.0,1.0,,,483497.0
Anthomyza dissors,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",0.0,3.0,0.0,,gap,483366.0
Anthomyza elbergi,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",4.0,5.0,2.0,,,483576.0
Anthomyza macra,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",4.0,4.0,1.0,,,469849.0
Anthomyza neglecta,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",4.0,5.0,1.0,,,715226.0
Anthomyza pallida,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",7.0,9.0,1.0,,,468352.0
Anthomyza paraneglecta,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",7.0,8.0,2.0,,,510678.0
Anthomyza pleuralis,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",7.0,10.0,1.0,,,483539.0
Carexomyza caricis,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",6.0,7.0,1.0,,,715379.0
Cercagnota collini,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Fungomyza albimana,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE",7.0,8.0,1.0,,,483345.0
Paranthomyza nitida,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",4.0,5.0,1.0,,,495176.0
Santhomyza bezzii,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Santhomyza biseta,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Santhomyza inermis,Arthropoda,Insecta,Diptera,Anthomyzidae,"FE,SyDip",,,,,gap,
Stiphrosoma cingulatum,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",2.0,3.0,1.0,,,716686.0
Stiphrosoma laetum,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",15.0,16.0,1.0,,,716688.0
Stiphrosoma sabulosum,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",6.0,12.0,1.0,,,598085.0
Typhamyza bifasciata,Arthropoda,Insecta,Diptera,Anthomyzidae,"BOLD,FE,SyDip",3.0,6.0,1.0,,,677244.0
