species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Atylotus agricola,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus canarius,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus fairchildi,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus flavoguttatus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus fulvus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",7.0,10.0,1.0,,,258482.0,957751.0
Atylotus kerteszi,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus latistriatus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",1.0,3.0,0.0,,,676886.0,
Atylotus loewianus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",3.0,5.0,1.0,,,258507.0,
Atylotus mallorcanus,Arthropoda,Insecta,Diptera,Tabanidae,FE,,,,,gap,,
Atylotus olsufjevi,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus pallitarsis,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus plebeius,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",2.0,11.0,2.0,,,258467.0,
Atylotus pulchellus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Atylotus quadrifarius,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",4.0,4.0,1.0,SyDip,,957751.0,
Atylotus rusticus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",8.0,12.0,1.0,,,258466.0,
Atylotus sublunaticornis,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",15.0,20.0,4.0,,,258465.0,
Atylotus venturii,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) concavus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) connexus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) divaricatus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,iNat,SyDip",10.0,18.0,1.0,,,258459.0,
Chrysops (Chrysops) flavipes,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) italicus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) mauritanicus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) melicharii,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,258460.0,
Chrysops (Chrysops) nigripes,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",76.0,82.0,1.0,,,96545.0,
Chrysops (Chrysops) parallelogrammus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,258456.0,
Chrysops (Chrysops) passosi,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops (Chrysops) relictus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,iNat,SyDip",27.0,36.0,1.0,,,258462.0,
Chrysops (Chrysops) rufipes,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,SyDip",9.0,12.0,2.0,,,258461.0,
Chrysops (Chrysops) sepulcralis,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,iNat,SyDip",11.0,15.0,1.0,SyDip,,258463.0,
Chrysops (Chrysops) viduatus,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,iNat,SyDip",13.0,22.0,1.0,SyDip,,258458.0,
Chrysops (Petersenichrysops) hamatus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Chrysops caecutiens,Arthropoda,Insecta,Diptera,Tabanidae,"BOLD,FE,iNat,SyDip",45.0,53.0,3.0,,,258457.0,
Dasyrhamphis algirus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Dasyrhamphis anthracinus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",0.0,1.0,0.0,,gap,504775.0,
Dasyrhamphis ater,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",0.0,1.0,0.0,,gap,504774.0,
Dasyrhamphis carbonarius,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Dasyrhamphis denticornis,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
Dasyrhamphis nigritus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,SyDip,gap,,
Dasyrhamphis tomentosus,Arthropoda,Insecta,Diptera,Tabanidae,"FE,SyDip",,,,,gap,,
