species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid,Unnamed: 12
Archisepsis (Enicita) discolor,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",2.0,2.0,1.0,SyDip,,649389.0,
Australosepsis niveipennis,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",339.0,344.0,1.0,,,164911.0,
Meroplius (Meroplius) minutus,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",3.0,5.0,1.0,SyDip,,164893.0,
Meroplius fukuharai,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",3.0,4.0,1.0,,,164894.0,
Nemopoda nitidula,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",147.0,159.0,1.0,,,82692.0,
Nemopoda pectinulata,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",4.0,4.0,1.0,,,510575.0,
Nemopoda speiseri,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,652464.0,
Ortalischema albitarse,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",2.0,3.0,1.0,,,82002.0,
Orygma luctuosum,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",6.0,11.0,1.0,,,81337.0,
Saltella nigripes,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,164878.0,
Saltella sphondylii,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",101.0,102.0,1.0,,,83298.0,
Sepsis (Sepsidimorpha) duplicata,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",5.0,7.0,1.0,,,164874.0,
Sepsis (Sepsidimorpha) setulosa,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,SyDip,gap,,
Sepsis (Sepsis) barbata,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,,gap,,
Sepsis (Sepsis) biflexuosa,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",30.0,33.0,1.0,SyDip,,164877.0,
Sepsis (Sepsis) cynipsea,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",37.0,38.0,1.0,SyDip,,164876.0,
Sepsis (Sepsis) fissa,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",36.0,36.0,1.0,,,164873.0,
Sepsis (Sepsis) flavimana,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",114.0,126.0,3.0,SyDip,,164872.0,304358.0
Sepsis (Sepsis) fulgens,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",33.0,34.0,1.0,,,164871.0,
Sepsis (Sepsis) lateralis,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",1.0,1.0,0.0,,,164869.0,
Sepsis (Sepsis) luteipes,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",72.0,72.0,4.0,,,483603.0,
Sepsis (Sepsis) macrochaetophora,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,,gap,,
Sepsis (Sepsis) neglecta,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",12.0,12.0,1.0,,,164867.0,
Sepsis (Sepsis) neocynipsea,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",241.0,243.0,1.0,SyDip,,164866.0,
Sepsis (Sepsis) nigripes,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",2.0,3.0,0.0,,,682641.0,
Sepsis (Sepsis) orthocnemis,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",39.0,39.0,1.0,,,164864.0,
Sepsis (Sepsis) pseudomonostigma,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,,gap,,
Sepsis (Sepsis) punctum,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,iNat,SyDip",394.0,398.0,1.0,SyDip,,164854.0,
Sepsis (Sepsis) thoracica,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",368.0,368.0,2.0,SyDip,,164862.0,
Themira (Annamira) leachi,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",30.0,33.0,2.0,SyDip,,83299.0,
Themira (Enicita) annulipes,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",204.0,207.0,2.0,SyDip,,80590.0,
Themira (Enicita) simplicipes,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,SyDip,gap,,
Themira (Enicomira) minor,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",54.0,58.0,1.0,SyDip,,80591.0,
Themira (Enicomira) paludosa,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",2.0,2.0,0.0,,,971205.0,
Themira (Nadezhdamira) malformans,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",33.0,35.0,1.0,,,483701.0,
Themira (Nadezhdamira) superba,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",16.0,19.0,1.0,SyDip,,83300.0,
Themira (Themira) arctica,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",22.0,27.0,1.0,SyDip,,81338.0,
Themira (Themira) biloba,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",3.0,4.0,1.0,,,82003.0,
Themira (Themira) germanica,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",5.0,7.0,1.0,,,483702.0,
Themira (Themira) gracilis,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",1.0,4.0,1.0,SyDip,,483374.0,
Themira (Themira) lucida,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",84.0,88.0,1.0,SyDip,,79253.0,
Themira (Themira) nigricornis,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",601.0,608.0,1.0,SyDip,,81339.0,
Themira (Themira) pusilla,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",13.0,18.0,2.0,SyDip,,82004.0,
Themira (Themira) putris,Arthropoda,Insecta,Diptera,Sepsidae,"BOLD,FE,SyDip",48.0,52.0,2.0,SyDip,,82694.0,
Themira (Themira) ringdahli,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",,,,,gap,,
Zuskamira inexpectata,Arthropoda,Insecta,Diptera,Sepsidae,"FE,SyDip",2.0,2.0,1.0,,,79251.0,
