species,Phylum,Class,Order,Family,source,speciemens barcoded,speciemens,public BINs,verified by,status,BOLD taxid
Anomalochaeta guttipennis,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",2.0,3.0,1.0,,,483714.0
Geomyza acutipennis,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza adusta,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza angustipennis,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza annae,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1140811.0
Geomyza apicalis,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",14.0,15.0,2.0,SyDip,,598054.0
Geomyza balachowskyi,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",24.0,24.0,1.0,,,598055.0
Geomyza bifida,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza breviseta,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",1.0,1.0,0.0,,,1140809.0
Geomyza denigrata,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza elbergi,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza hackmani,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",3.0,3.0,0.0,,,976350.0
Geomyza majuscula,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",5.0,5.0,1.0,,,510683.0
Geomyza martineki,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,iNat,SyDip",8.0,8.0,0.0,,,676247.0
Geomyza nartshukae,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza paganettii,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza pilosula,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza subnigra,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza tripunctata,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,iNat,SyDip",166.0,169.0,1.0,,,598058.0
Geomyza tundrarum,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Geomyza venusta,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",9.0,9.0,0.0,,,1140810.0
Geomyza zumetae,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Opomyza aisae,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Opomyza decora,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
Opomyza florum,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,iNat,SyDip",49.0,52.0,1.0,,,453954.0
Opomyza germinationis,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",70.0,72.0,1.0,,,453927.0
Opomyza lineatopunctata,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,483484.0
Opomyza nigriventris,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",2.0,2.0,1.0,,,510571.0
Opomyza petrei,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",198.0,200.0,1.0,,,598060.0
Opomyza punctata,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",47.0,47.0,1.0,,,483257.0
Opomyza punctella,Arthropoda,Insecta,Diptera,Opomyzidae,"BOLD,FE,SyDip",3.0,4.0,1.0,,,483565.0
Opomyza thalhammeri,Arthropoda,Insecta,Diptera,Opomyzidae,"FE,SyDip",,,,,gap,
